direction,classifier,within_f1,cross_f1,delta_f1,stride_ci_low,stride_ci_high,subj_ci_low,subj_ci_high,perm_p,top1_delta_j_feature
PD→HD,RF,0.7777,0.8208,0.0431,0.8108,0.8309,0.6676,0.9141,0.0,asymmetry_index
PD→HD,KNN,0.711,0.726,0.015,0.7135,0.7384,0.5777,0.831,0.0,asymmetry_index
PD→HD,SVM,0.7194,0.7829,0.0636,0.7715,0.7948,0.6161,0.8993,0.0,asymmetry_index
PD→HD,DT,0.7434,0.7609,0.0174,0.7496,0.7721,0.5733,0.8851,0.0,asymmetry_index
PD→HD,QDA,0.6406,0.6414,0.0008,0.6296,0.6522,0.4923,0.765,0.0,asymmetry_index
PD→HD,XGB,0.7727,0.8773,0.1046,0.8689,0.8858,0.745,0.96,0.0,asymmetry_index
PD→HD,LGBM,0.7251,0.8011,0.076,0.7893,0.8122,0.6195,0.9185,0.0,asymmetry_index
HD→PD,RF,0.8995,0.6707,-0.2288,0.6582,0.6831,0.4662,0.8451,0.0,right_swing_s
HD→PD,KNN,0.8669,0.6775,-0.1895,0.6656,0.6899,0.4828,0.827,0.0,right_swing_s
HD→PD,SVM,0.8524,0.6825,-0.1699,0.6696,0.695,0.4895,0.8436,0.0,right_swing_s
HD→PD,DT,0.898,0.6382,-0.2599,0.6251,0.6516,0.417,0.824,0.0,right_swing_s
HD→PD,QDA,0.5799,0.6912,0.1114,0.6793,0.703,0.5436,0.8098,0.0,right_swing_s
HD→PD,XGB,0.8937,0.641,-0.2527,0.6283,0.6534,0.4222,0.8222,0.0,right_swing_s
HD→PD,LGBM,0.8703,0.6409,-0.2295,0.6285,0.6528,0.4241,0.8234,0.0,right_swing_s
PD→ALS,RF,0.7777,0.7465,-0.0312,0.7343,0.7589,0.5412,0.9034,0.0,left_stance_s
PD→ALS,KNN,0.711,0.7239,0.0129,0.7108,0.7375,0.5601,0.8469,0.0,left_stance_s
PD→ALS,SVM,0.7194,0.701,-0.0184,0.6871,0.7141,0.5039,0.8614,0.0,left_stance_s
PD→ALS,DT,0.7434,0.7016,-0.0418,0.6893,0.7158,0.4749,0.879,0.0,left_stance_s
PD→ALS,QDA,0.6406,0.7386,0.098,0.726,0.7514,0.592,0.8518,0.0,left_stance_s
PD→ALS,XGB,0.7727,0.7726,-0.0001,0.7592,0.7853,0.5765,0.924,0.0,left_stance_s
PD→ALS,LGBM,0.7251,0.7109,-0.0142,0.6974,0.723,0.4927,0.8881,0.0,left_stance_s
ALS→PD,RF,0.7737,0.5814,-0.1923,0.5684,0.594,0.399,0.7416,0.0,left_swing_s
ALS→PD,KNN,0.8758,0.6036,-0.2722,0.5913,0.616,0.4274,0.7561,0.0,left_swing_s
ALS→PD,SVM,0.8221,0.6497,-0.1724,0.6379,0.6615,0.4763,0.791,0.0,left_swing_s
ALS→PD,DT,0.7329,0.4722,-0.2608,0.4592,0.4847,0.2812,0.6514,0.0,left_swing_s
ALS→PD,QDA,0.6905,0.6391,-0.0514,0.626,0.6504,0.491,0.7616,0.0,left_swing_s
ALS→PD,XGB,0.7854,0.5032,-0.2822,0.4896,0.5162,0.3074,0.6886,0.0,left_swing_s
ALS→PD,LGBM,0.7329,0.4965,-0.2365,0.4825,0.5097,0.2915,0.6913,0.0,left_swing_s
HD→ALS,RF,0.8995,0.7342,-0.1653,0.7206,0.7475,0.5094,0.921,0.0,right_stride_s
HD→ALS,KNN,0.8669,0.7042,-0.1627,0.6907,0.7181,0.4844,0.8712,0.0,right_stride_s
HD→ALS,SVM,0.8524,0.7232,-0.1292,0.71,0.7365,0.5347,0.8795,0.0,right_stride_s
HD→ALS,DT,0.898,0.7255,-0.1725,0.7118,0.7397,0.499,0.9329,0.0,right_stride_s
HD→ALS,QDA,0.5799,0.7029,0.123,0.69,0.7162,0.5575,0.8215,0.0,right_stride_s
HD→ALS,XGB,0.8937,0.7287,-0.165,0.7154,0.7417,0.5029,0.9297,0.0,right_stride_s
HD→ALS,LGBM,0.8703,0.7282,-0.1421,0.7156,0.7408,0.5086,0.9279,0.0,right_stride_s
ALS→HD,RF,0.7737,0.5758,-0.1979,0.5636,0.588,0.4094,0.7177,0.0,double_support_pct
ALS→HD,KNN,0.8758,0.5816,-0.2942,0.5691,0.5939,0.4165,0.7196,0.0,double_support_pct
ALS→HD,SVM,0.8221,0.6505,-0.1717,0.6388,0.6615,0.4802,0.7924,0.0,double_support_pct
ALS→HD,DT,0.7329,0.5021,-0.2308,0.4902,0.5128,0.3387,0.6527,0.0,double_support_pct
ALS→HD,QDA,0.6905,0.6535,-0.037,0.642,0.6647,0.4986,0.7786,0.0,double_support_pct
ALS→HD,XGB,0.7854,0.5408,-0.2446,0.5296,0.5535,0.3603,0.6985,0.0,double_support_pct
ALS→HD,LGBM,0.7329,0.5424,-0.1906,0.5298,0.5546,0.3532,0.708,0.0,double_support_pct
