scope,clf,method,alpha,nominal,coverage,mean_set_size
within:pd,rf,lac,0.05,0.95,1.0,2.0
within:pd,rf,lac,0.1,0.9,0.874695,1.874695
within:pd,rf,lac,0.2,0.8,0.827117,1.0
within:pd,rf,aps,0.05,0.95,0.998257,1.998257
within:pd,rf,aps,0.1,0.9,0.998257,1.998257
within:pd,rf,aps,0.2,0.8,0.998257,1.998257
within:pd,knn,lac,0.05,0.95,0.952771,1.929592
within:pd,knn,lac,0.1,0.9,0.898222,1.327292
within:pd,knn,lac,0.2,0.8,0.800627,1.055071
within:pd,knn,aps,0.05,0.95,1.0,2.0
within:pd,knn,aps,0.1,0.9,1.0,2.0
within:pd,knn,aps,0.2,0.8,1.0,2.0
within:pd,svm,lac,0.05,0.95,0.942314,1.332869
within:pd,svm,lac,0.1,0.9,0.875741,1.186825
within:pd,svm,lac,0.2,0.8,0.824155,1.0
within:pd,svm,aps,0.05,0.95,0.982747,1.784942
within:pd,svm,aps,0.1,0.9,0.982747,1.784942
within:pd,svm,aps,0.2,0.8,0.824155,1.0
within:pd,dt,lac,0.05,0.95,1.0,2.0
within:pd,dt,lac,0.1,0.9,1.0,2.0
within:pd,dt,lac,0.2,0.8,0.828686,1.0
within:pd,dt,aps,0.05,0.95,1.0,2.0
within:pd,dt,aps,0.1,0.9,1.0,2.0
within:pd,dt,aps,0.2,0.8,1.0,2.0
within:pd,qda,lac,0.05,0.95,0.942837,1.434472
within:pd,qda,lac,0.1,0.9,0.892646,1.316835
within:pd,qda,lac,0.2,0.8,0.790171,1.119031
within:pd,qda,aps,0.05,0.95,0.989718,1.957999
within:pd,qda,aps,0.1,0.9,0.989718,1.957999
within:pd,qda,aps,0.2,0.8,0.989718,1.957999
within:pd,xgb,lac,0.05,0.95,0.917916,1.917916
within:pd,xgb,lac,0.1,0.9,0.871732,1.212618
within:pd,xgb,lac,0.2,0.8,0.825549,1.0
within:pd,xgb,aps,0.05,0.95,0.957825,1.814047
within:pd,xgb,aps,0.1,0.9,0.957825,1.814047
within:pd,xgb,aps,0.2,0.8,0.825549,1.0
within:pd,lgbm,lac,0.05,0.95,0.91443,1.290868
within:pd,lgbm,lac,0.1,0.9,0.876438,1.092018
within:pd,lgbm,lac,0.2,0.8,0.833391,1.0
within:pd,lgbm,aps,0.05,0.95,1.0,2.0
within:pd,lgbm,aps,0.1,0.9,1.0,2.0
within:pd,lgbm,aps,0.2,0.8,0.833391,1.0
within:hd,rf,lac,0.05,0.95,0.924936,1.113797
within:hd,rf,lac,0.1,0.9,0.924936,1.0
within:hd,rf,lac,0.2,0.8,0.924936,1.0
within:hd,rf,aps,0.05,0.95,1.0,2.0
within:hd,rf,aps,0.1,0.9,1.0,2.0
within:hd,rf,aps,0.2,0.8,1.0,2.0
within:hd,knn,lac,0.05,0.95,1.0,2.0
within:hd,knn,lac,0.1,0.9,0.907972,1.904369
within:hd,knn,lac,0.2,0.8,0.838913,1.0
within:hd,knn,aps,0.05,0.95,1.0,1.999399
within:hd,knn,aps,0.1,0.9,1.0,1.999399
within:hd,knn,aps,0.2,0.8,1.0,1.999399
within:hd,svm,lac,0.05,0.95,0.937547,1.136166
within:hd,svm,lac,0.1,0.9,0.891458,1.01201
within:hd,svm,lac,0.2,0.8,0.887254,1.0
within:hd,svm,aps,0.05,0.95,0.949557,1.737727
within:hd,svm,aps,0.1,0.9,0.891157,1.357754
within:hd,svm,aps,0.2,0.8,0.887254,1.0
within:hd,dt,lac,0.05,0.95,0.924936,1.924936
within:hd,dt,lac,0.1,0.9,0.924936,1.0
within:hd,dt,lac,0.2,0.8,0.924936,1.0
within:hd,dt,aps,0.05,0.95,1.0,2.0
within:hd,dt,aps,0.1,0.9,1.0,2.0
within:hd,dt,aps,0.2,0.8,1.0,2.0
within:hd,qda,lac,0.05,0.95,0.931392,1.485513
within:hd,qda,lac,0.1,0.9,0.891157,1.335535
within:hd,qda,lac,0.2,0.8,0.798979,1.055847
within:hd,qda,aps,0.05,0.95,0.98844,1.959616
within:hd,qda,aps,0.1,0.9,0.98844,1.959616
within:hd,qda,aps,0.2,0.8,0.98844,1.959616
within:hd,xgb,lac,0.05,0.95,0.963819,1.0
within:hd,xgb,lac,0.1,0.9,0.963819,1.0
within:hd,xgb,lac,0.2,0.8,0.963819,1.0
within:hd,xgb,aps,0.05,0.95,0.963819,1.0
within:hd,xgb,aps,0.1,0.9,0.963819,1.0
within:hd,xgb,aps,0.2,0.8,0.963819,1.0
within:hd,lgbm,lac,0.05,0.95,0.923885,1.037382
within:hd,lgbm,lac,0.1,0.9,0.886504,1.0
within:hd,lgbm,lac,0.2,0.8,0.886504,1.0
within:hd,lgbm,aps,0.05,0.95,1.0,2.0
within:hd,lgbm,aps,0.1,0.9,0.886504,1.886504
within:hd,lgbm,aps,0.2,0.8,0.886504,1.0
within:als,rf,lac,0.05,0.95,0.922095,1.416387
within:als,rf,lac,0.1,0.9,0.876427,1.300873
within:als,rf,lac,0.2,0.8,0.766286,1.089993
within:als,rf,aps,0.05,0.95,1.0,2.0
within:als,rf,aps,0.1,0.9,1.0,2.0
within:als,rf,aps,0.2,0.8,1.0,2.0
within:als,knn,lac,0.05,0.95,1.0,2.0
within:als,knn,lac,0.1,0.9,0.912469,1.232147
within:als,knn,lac,0.2,0.8,0.820237,1.0
within:als,knn,aps,0.05,0.95,1.0,2.0
within:als,knn,aps,0.1,0.9,1.0,2.0
within:als,knn,aps,0.2,0.8,1.0,2.0
within:als,svm,lac,0.05,0.95,0.930826,1.567271
within:als,svm,lac,0.1,0.9,0.875979,1.475487
within:als,svm,lac,0.2,0.8,0.79203,1.155585
within:als,svm,aps,0.05,0.95,0.96642,1.886725
within:als,svm,aps,0.1,0.9,0.96642,1.886725
within:als,svm,aps,0.2,0.8,0.786658,1.235057
within:als,dt,lac,0.05,0.95,1.0,2.0
within:als,dt,lac,0.1,0.9,1.0,2.0
within:als,dt,lac,0.2,0.8,0.839937,1.83949
within:als,dt,aps,0.05,0.95,1.0,2.0
within:als,dt,aps,0.1,0.9,1.0,2.0
within:als,dt,aps,0.2,0.8,1.0,2.0
within:als,qda,lac,0.05,0.95,0.933512,1.466756
within:als,qda,lac,0.1,0.9,0.894784,1.200134
within:als,qda,lac,0.2,0.8,0.820909,1.0
within:als,qda,aps,0.05,0.95,0.995075,1.9606
within:als,qda,aps,0.1,0.9,0.995075,1.9606
within:als,qda,aps,0.2,0.8,0.995075,1.9606
within:als,xgb,lac,0.05,0.95,0.929259,1.390642
within:als,xgb,lac,0.1,0.9,0.855384,1.161854
within:als,xgb,lac,0.2,0.8,0.826058,1.0
within:als,xgb,aps,0.05,0.95,0.95366,1.77345
within:als,xgb,aps,0.1,0.9,0.95366,1.77345
within:als,xgb,aps,0.2,0.8,0.826058,1.0
within:als,lgbm,lac,0.05,0.95,0.940228,1.539736
within:als,lgbm,lac,0.1,0.9,0.867696,1.256548
within:als,lgbm,lac,0.2,0.8,0.797403,1.077457
within:als,lgbm,aps,0.05,0.95,1.0,2.0
within:als,lgbm,aps,0.1,0.9,1.0,2.0
within:als,lgbm,aps,0.2,0.8,1.0,2.0
