direction,classifier,within_f1,cross_f1,delta_f1,stride_ci_low,stride_ci_high,subj_ci_low,subj_ci_high,perm_p,top1_delta_j_feature
PD→HD,RF,0.773,0.8682,0.0952,0.859,0.8765,0.7094,0.9856,0.0,left_stride_s
PD→HD,KNN,0.7584,0.7019,-0.0565,0.6902,0.7132,0.5442,0.8248,0.0,left_stride_s
PD→HD,SVM,0.7353,0.8192,0.0839,0.8074,0.8293,0.6353,0.9425,0.0,left_stride_s
PD→HD,DT,0.8668,0.8313,-0.0355,0.8212,0.8404,0.6467,0.9623,0.0,left_stride_s
PD→HD,QDA,0.7391,0.7438,0.0047,0.7327,0.7542,0.5709,0.8707,0.0,left_stride_s
PD→HD,XGB,0.7351,0.7615,0.0265,0.7491,0.7728,0.5233,0.9276,0.0,left_stride_s
PD→HD,LGBM,0.8186,0.82,0.0014,0.8098,0.8307,0.6103,0.96,0.0,left_stride_s
HD→PD,RF,0.953,0.7252,-0.2278,0.7135,0.7366,0.5,0.8983,0.0,cv_swing
HD→PD,KNN,0.8046,0.6974,-0.1072,0.6853,0.7097,0.5066,0.8388,0.0,cv_swing
HD→PD,SVM,0.872,0.7112,-0.1608,0.6987,0.7233,0.4981,0.8745,0.0,cv_swing
HD→PD,DT,0.9053,0.8274,-0.0779,0.8178,0.838,0.638,0.9606,0.0,cv_swing
HD→PD,QDA,0.7648,0.6419,-0.1229,0.6287,0.6544,0.463,0.7899,0.0,cv_swing
HD→PD,XGB,0.9562,0.7785,-0.1777,0.7674,0.7893,0.5674,0.9406,0.0,cv_swing
HD→PD,LGBM,0.8626,0.8147,-0.0479,0.8041,0.8245,0.6127,0.9571,0.0,cv_swing
PD→ALS,RF,0.773,0.8257,0.0527,0.8148,0.8371,0.6325,0.9737,0.0,double_support_s
PD→ALS,KNN,0.7584,0.8245,0.0661,0.813,0.8361,0.6908,0.9243,0.0,double_support_s
PD→ALS,SVM,0.7353,0.7105,-0.0248,0.6972,0.7241,0.4932,0.882,0.0,double_support_s
PD→ALS,DT,0.8668,0.7398,-0.127,0.7276,0.7532,0.524,0.9113,0.0,double_support_s
PD→ALS,QDA,0.7391,0.7781,0.039,0.7661,0.7903,0.5969,0.9136,0.0,double_support_s
PD→ALS,XGB,0.7351,0.6642,-0.0708,0.6503,0.6782,0.4098,0.8634,0.0,double_support_s
PD→ALS,LGBM,0.8186,0.7279,-0.0907,0.7149,0.7402,0.494,0.9122,0.0,double_support_s
ALS→PD,RF,0.7401,0.7284,-0.0117,0.7169,0.7401,0.5457,0.8666,0.0,cv_swing
ALS→PD,KNN,0.83,0.6578,-0.1721,0.6458,0.6705,0.4785,0.8051,0.0,cv_swing
ALS→PD,SVM,0.7098,0.6981,-0.0117,0.6865,0.7092,0.5263,0.8351,0.0,cv_swing
ALS→PD,DT,0.6901,0.6836,-0.0065,0.672,0.6964,0.4949,0.8382,0.0,cv_swing
ALS→PD,QDA,0.8209,0.7092,-0.1117,0.6972,0.7206,0.5436,0.8383,0.0,cv_swing
ALS→PD,XGB,0.7148,0.7671,0.0523,0.7562,0.7785,0.5837,0.9158,0.0,cv_swing
ALS→PD,LGBM,0.752,0.6368,-0.1152,0.6251,0.6489,0.4316,0.8098,0.0,cv_swing
HD→ALS,RF,0.953,0.6788,-0.2742,0.664,0.6926,0.439,0.8839,0.0,cv_stride
HD→ALS,KNN,0.8046,0.7209,-0.0837,0.7076,0.7345,0.5096,0.883,0.0,cv_stride
HD→ALS,SVM,0.872,0.698,-0.174,0.6848,0.7122,0.4751,0.8719,0.0,cv_stride
HD→ALS,DT,0.9053,0.7433,-0.1619,0.7304,0.7561,0.5286,0.9056,0.0,cv_stride
HD→ALS,QDA,0.7648,0.7564,-0.0084,0.7438,0.7684,0.5718,0.8982,0.0,cv_stride
HD→ALS,XGB,0.9562,0.7374,-0.2188,0.724,0.75,0.5121,0.9106,0.0,cv_stride
HD→ALS,LGBM,0.8626,0.6881,-0.1745,0.6743,0.7014,0.4608,0.888,0.0,cv_stride
ALS→HD,RF,0.7401,0.788,0.048,0.7785,0.7983,0.6171,0.9116,0.0,cv_swing
ALS→HD,KNN,0.83,0.6278,-0.2022,0.6151,0.6403,0.4561,0.7706,0.0,cv_swing
ALS→HD,SVM,0.7098,0.69,-0.0197,0.6782,0.7016,0.5207,0.8264,0.0,cv_swing
ALS→HD,DT,0.6901,0.7117,0.0216,0.7003,0.7229,0.5419,0.8446,0.0,cv_swing
ALS→HD,QDA,0.8209,0.7285,-0.0924,0.7172,0.7394,0.5559,0.8584,0.0,cv_swing
ALS→HD,XGB,0.7148,0.8334,0.1186,0.8242,0.8421,0.6721,0.9592,0.0,cv_swing
ALS→HD,LGBM,0.752,0.7949,0.043,0.7844,0.8052,0.6212,0.9248,0.0,cv_swing
