direction,clf,rank,feature,delta_f1_drop
pd_to_hd,rf,1,cv_stride,0.300469
pd_to_hd,rf,2,right_stride_s,0.044024
pd_to_hd,rf,3,right_swing_pct,0.000244
pd_to_hd,knn,1,cv_stride,0.240702
pd_to_hd,knn,2,cv_swing,0.112833
pd_to_hd,knn,3,asymmetry_index,0.037333
pd_to_hd,svm,1,cv_stride,0.255189
pd_to_hd,svm,2,asymmetry_index,0.007808
pd_to_hd,svm,3,left_swing_s,0.003102
pd_to_hd,dt,1,cv_stride,0.307722
pd_to_hd,dt,2,left_stride_s,0.052815
pd_to_hd,dt,3,right_stride_s,0.025297
pd_to_hd,qda,1,double_support_pct,0.149181
pd_to_hd,qda,2,right_swing_pct,0.113677
pd_to_hd,qda,3,left_swing_pct,0.102591
pd_to_hd,xgb,1,cv_stride,0.301032
pd_to_hd,xgb,2,dfa_alpha_stride,0.002949
pd_to_hd,xgb,3,right_swing_pct,0.000245
pd_to_hd,lgbm,1,cv_stride,0.294323
pd_to_hd,lgbm,2,right_stride_s,0.016372
pd_to_hd,lgbm,3,cv_swing,0.000735
hd_to_pd,rf,1,cv_stride,0.221917
hd_to_pd,rf,2,cv_swing,0.030393
hd_to_pd,rf,3,left_swing_s,-0.0
hd_to_pd,knn,1,cv_stride,0.073945
hd_to_pd,knn,2,cv_swing,0.03693
hd_to_pd,knn,3,dfa_alpha_stride,0.033345
hd_to_pd,svm,1,cv_stride,0.257221
hd_to_pd,svm,2,dfa_alpha_stride,0.097362
hd_to_pd,svm,3,asymmetry_index,0.011831
hd_to_pd,dt,1,cv_stride,0.253014
hd_to_pd,dt,2,left_stride_s,-0.0
hd_to_pd,dt,3,left_swing_s,-0.0
hd_to_pd,qda,1,double_support_pct,0.192328
hd_to_pd,qda,2,right_swing_pct,0.147042
hd_to_pd,qda,3,left_swing_pct,0.129689
hd_to_pd,xgb,1,cv_stride,0.25255
hd_to_pd,xgb,2,left_stride_s,-0.0
hd_to_pd,xgb,3,left_swing_s,-0.0
hd_to_pd,lgbm,1,cv_stride,0.2558
hd_to_pd,lgbm,2,left_stride_s,-0.0
hd_to_pd,lgbm,3,left_swing_s,-0.0
pd_to_als,rf,1,right_stride_s,0.102618
pd_to_als,rf,2,cv_stride,0.08698
pd_to_als,rf,3,cv_swing,0.001213
pd_to_als,knn,1,cv_stride,0.157435
pd_to_als,knn,2,dfa_alpha_stride,0.085785
pd_to_als,knn,3,cv_swing,0.058351
pd_to_als,svm,1,cv_stride,0.061796
pd_to_als,svm,2,dfa_alpha_stride,0.003662
pd_to_als,svm,3,double_support_s,0.00202
pd_to_als,dt,1,cv_stride,0.192517
pd_to_als,dt,2,left_stride_s,0.097471
pd_to_als,dt,3,right_stride_s,0.047672
pd_to_als,qda,1,double_support_pct,0.313663
pd_to_als,qda,2,left_swing_pct,0.236566
pd_to_als,qda,3,right_swing_pct,0.223844
pd_to_als,xgb,1,cv_stride,0.081767
pd_to_als,xgb,2,right_stride_s,0.021569
pd_to_als,xgb,3,left_stride_s,0.015254
pd_to_als,lgbm,1,cv_stride,0.076883
pd_to_als,lgbm,2,right_stride_s,0.01097
pd_to_als,lgbm,3,right_stance_s,0.003352
als_to_pd,rf,1,cv_swing,0.13486
als_to_pd,rf,2,cv_stride,0.104092
als_to_pd,rf,3,dfa_alpha_stride,0.100176
als_to_pd,knn,1,dfa_alpha_stride,0.087723
als_to_pd,knn,2,cv_stride,0.086428
als_to_pd,knn,3,cv_swing,0.05797
als_to_pd,svm,1,dfa_alpha_stride,0.086898
als_to_pd,svm,2,cv_stride,0.069211
als_to_pd,svm,3,cv_swing,0.031687
als_to_pd,dt,1,cv_swing,0.217255
als_to_pd,dt,2,double_support_s,0.136633
als_to_pd,dt,3,dfa_alpha_stride,0.063886
als_to_pd,qda,1,double_support_pct,0.151879
als_to_pd,qda,2,dfa_alpha_stride,0.101167
als_to_pd,qda,3,right_swing_pct,0.092311
als_to_pd,xgb,1,cv_swing,0.04465
als_to_pd,xgb,2,dfa_alpha_stride,0.044426
als_to_pd,xgb,3,cv_stride,0.038207
als_to_pd,lgbm,1,dfa_alpha_stride,0.11048
als_to_pd,lgbm,2,cv_stride,0.08135
als_to_pd,lgbm,3,left_stance_s,0.03095
hd_to_als,rf,1,cv_stride,0.046752
hd_to_als,rf,2,left_stride_s,-0.0
hd_to_als,rf,3,left_swing_s,-0.0
hd_to_als,knn,1,cv_stride,0.056544
hd_to_als,knn,2,dfa_alpha_stride,0.03468
hd_to_als,knn,3,right_swing_pct,0.028143
hd_to_als,svm,1,cv_stride,0.203661
hd_to_als,svm,2,dfa_alpha_stride,0.074123
hd_to_als,svm,3,left_stride_s,0.037241
hd_to_als,dt,1,cv_stride,0.117358
hd_to_als,dt,2,left_stride_s,-0.0
hd_to_als,dt,3,left_swing_s,-0.0
hd_to_als,qda,1,double_support_pct,0.304889
hd_to_als,qda,2,right_swing_pct,0.21464
hd_to_als,qda,3,left_swing_pct,0.203882
hd_to_als,xgb,1,cv_stride,0.119339
hd_to_als,xgb,2,left_stride_s,-0.0
hd_to_als,xgb,3,left_swing_s,-0.0
hd_to_als,lgbm,1,cv_stride,0.110921
hd_to_als,lgbm,2,left_stride_s,-0.0
hd_to_als,lgbm,3,left_swing_s,-0.0
als_to_hd,rf,1,cv_stride,0.054968
als_to_hd,rf,2,left_swing_pct,0.001571
als_to_hd,rf,3,right_swing_pct,0.001554
als_to_hd,knn,1,cv_stride,0.072611
als_to_hd,knn,2,dfa_alpha_stride,0.049619
als_to_hd,knn,3,cv_swing,0.041101
als_to_hd,svm,1,cv_stride,0.057795
als_to_hd,svm,2,dfa_alpha_stride,0.04604
als_to_hd,svm,3,cv_swing,0.020573
als_to_hd,dt,1,double_support_s,0.115068
als_to_hd,dt,2,cv_swing,0.089384
als_to_hd,dt,3,dfa_alpha_stride,0.083609
als_to_hd,qda,1,double_support_pct,0.092456
als_to_hd,qda,2,left_swing_pct,0.056627
als_to_hd,qda,3,right_swing_pct,0.056292
als_to_hd,xgb,1,cv_stride,0.060047
als_to_hd,xgb,2,double_support_s,0.005794
als_to_hd,xgb,3,double_support_pct,0.001768
als_to_hd,lgbm,1,cv_stride,0.116031
als_to_hd,lgbm,2,dfa_alpha_stride,0.043823
als_to_hd,lgbm,3,cv_swing,0.030619
