section,Condition,Direction,Classifier,Strategy,F1_within,CI_low,CI_high,F1_cross,Delta_F1
within,PD,,RF,balanced,0.9026,0.7424,1.0,,
within,PD,,KNN,balanced,0.8522,0.7139,0.9547,,
within,PD,,SVM,synthetic,0.8455,0.6806,0.9645,,
within,PD,,DT,synthetic,0.9022,0.7419,1.0,,
within,PD,,QDA,synthetic,0.8433,0.7373,0.9175,,
within,PD,,XGBoost,synthetic,0.8545,0.6748,0.9933,,
within,PD,,LightGBM,synthetic,0.9015,0.7413,1.0,,
within,HD,,RF,synthetic,0.9043,0.7449,1.0,,
within,HD,,KNN,synthetic,0.768,0.5992,0.8986,,
within,HD,,SVM,balanced,0.8746,0.7179,0.9888,,
within,HD,,DT,synthetic,0.9043,0.7449,1.0,,
within,HD,,QDA,balanced,0.7833,0.6115,0.9137,,
within,HD,,XGBoost,synthetic,0.9546,0.8409,1.0,,
within,HD,,LightGBM,synthetic,0.9043,0.7449,1.0,,
within,ALS,,RF,balanced,0.8471,0.6825,0.962,,
within,ALS,,KNN,synthetic,0.9484,0.8846,0.992,,
within,ALS,,SVM,balanced,0.9692,0.9349,0.994,,
within,ALS,,DT,balanced,0.8322,0.6668,0.9516,,
within,ALS,,QDA,synthetic,0.9531,0.9084,0.982,,
within,ALS,,XGBoost,balanced,0.8209,0.6345,0.9574,,
within,ALS,,LightGBM,synthetic,0.752,0.5626,0.9003,,
cross,,PD→HD,RF,,,,,0.8094,0.0932
cross,,PD→HD,KNN,,,,,0.8167,0.0859
cross,,PD→HD,SVM,,,,,0.7689,0.1337
cross,,PD→HD,DT,,,,,0.8085,0.0941
cross,,PD→HD,QDA,,,,,0.7299,0.1727
cross,,PD→HD,XGBoost,,,,,0.8082,0.0944
cross,,PD→HD,LightGBM,,,,,0.8092,0.0934
cross,,HD→PD,RF,,,,,0.7474,0.2072
cross,,HD→PD,KNN,,,,,0.6249,0.3297
cross,,HD→PD,SVM,,,,,0.659,0.2956
cross,,HD→PD,DT,,,,,0.7474,0.2072
cross,,HD→PD,QDA,,,,,0.7948,0.1598
cross,,HD→PD,XGBoost,,,,,0.7474,0.2072
cross,,HD→PD,LightGBM,,,,,0.7474,0.2072
cross,,PD→ALS,RF,,,,,0.7087,0.1939
cross,,PD→ALS,KNN,,,,,0.8471,0.0555
cross,,PD→ALS,SVM,,,,,0.6311,0.2715
cross,,PD→ALS,DT,,,,,0.7151,0.1875
cross,,PD→ALS,QDA,,,,,0.8661,0.0365
cross,,PD→ALS,XGBoost,,,,,0.6983,0.2043
cross,,PD→ALS,LightGBM,,,,,0.7147,0.1878
cross,,ALS→PD,RF,,,,,0.8587,0.1105
cross,,ALS→PD,KNN,,,,,0.7597,0.2095
cross,,ALS→PD,SVM,,,,,0.7932,0.176
cross,,ALS→PD,DT,,,,,0.8646,0.1046
cross,,ALS→PD,QDA,,,,,0.7823,0.1869
cross,,ALS→PD,XGBoost,,,,,0.7255,0.2438
cross,,ALS→PD,LightGBM,,,,,0.7867,0.1825
cross,,HD→ALS,RF,,,,,0.6118,0.3428
cross,,HD→ALS,KNN,,,,,0.6796,0.275
cross,,HD→ALS,SVM,,,,,0.736,0.2186
cross,,HD→ALS,DT,,,,,0.6118,0.3428
cross,,HD→ALS,QDA,,,,,0.8904,0.0642
cross,,HD→ALS,XGBoost,,,,,0.6118,0.3428
cross,,HD→ALS,LightGBM,,,,,0.6118,0.3428
cross,,ALS→HD,RF,,,,,0.7678,0.2014
cross,,ALS→HD,KNN,,,,,0.7149,0.2543
cross,,ALS→HD,SVM,,,,,0.7077,0.2616
cross,,ALS→HD,DT,,,,,0.7544,0.2148
cross,,ALS→HD,QDA,,,,,0.7278,0.2414
cross,,ALS→HD,XGBoost,,,,,0.7391,0.2301
cross,,ALS→HD,LightGBM,,,,,0.7585,0.2107
