scope,clf,f1@0,f1@0.10,f1@0.25,f1@0.50,delta_f1_at_0.25,sigma_at_10pct_drop
within:pd,rf,0.902162,0.8826216000000001,0.8098907666666667,0.7288409,0.09227123333333331,0.25
within:pd,knn,0.855947,0.854049,0.8406833,0.7922090999999999,0.015263699999999991,
within:pd,svm,0.812708,0.8241063666666666,0.7729473,0.7078117666666667,0.03976069999999998,0.5
within:pd,dt,0.902162,0.8817004666666666,0.8043193666666666,0.7214936000000001,0.09784263333333343,0.25
within:pd,qda,0.843335,0.8145415,0.6983623666666666,0.5610844,0.14497263333333332,0.2
within:pd,xgb,0.854489,0.8610748333333333,0.8005111666666667,0.7267965333333332,0.05397783333333339,0.5
within:pd,lgbm,0.901514,0.8837001999999999,0.8124718666666665,0.7326203,0.08904213333333355,0.5
within:hd,rf,0.90435,0.8661375666666665,0.7922969999999999,0.7259014999999999,0.11205300000000007,0.2
within:hd,knn,0.774611,0.7619162333333335,0.7287180666666664,0.6910530666666668,0.04589293333333366,0.5
within:hd,svm,0.897927,0.8281193666666666,0.7388460333333333,0.6749181,0.1590809666666667,0.15
within:hd,dt,0.90435,0.8657781666666666,0.7825230666666666,0.7092183333333334,0.12182693333333339,0.2
within:hd,qda,0.7833,0.7636898,0.6608442666666667,0.5134824666666665,0.12245573333333326,0.2
within:hd,xgb,0.954603,0.8645082333333334,0.7804483666666667,0.7077370333333332,0.17415463333333325,0.15
within:hd,lgbm,0.90435,0.8661719666666667,0.7807706,0.7095800666666666,0.1235794,0.2
within:als,rf,0.908224,0.9053676666666668,0.8640961666666666,0.7998076666666666,0.04412783333333348,0.5
within:als,knn,0.95244,0.9482449666666664,0.9369531666666668,0.9032972000000002,0.015486833333333117,
within:als,svm,0.981153,0.9764058666666668,0.9576526,0.9055446333333333,0.023500400000000088,
within:als,dt,0.728713,0.7419086333333333,0.7245535666666668,0.6751862333333333,0.00415943333333324,
