Direction,Classifier,Subject F1,Within-source subject F1,Matched degradation (subject),Stride F1,Within-source stride F1,Matched degradation (stride),Subject CI low,Subject CI high,Control specificity,Target recall,Strategy,Permutation p-value
PD→HD,DT,0.807143,0.904167,0.097024,0.808212,0.902162,0.09395,0.589666,0.957075,0.625,0.947368,balanced,0.0038
PD→HD,KNN,0.861538,0.865497,0.003959,0.761634,0.875902,0.114268,0.676923,1.0,0.75,0.947368,raw,0.0005
PD→HD,LightGBM,0.807143,0.904167,0.097024,0.809436,0.901946,0.09251,0.589666,0.957075,0.625,0.947368,balanced,0.0049
PD→HD,QDA,0.871224,0.860041,-0.011183,0.853409,0.835888,-0.017521,0.706522,1.0,0.875,0.894737,synthetic,0.0004
PD→HD,RF,0.807143,0.904167,0.097024,0.806739,0.899398,0.092659,0.589666,0.953846,0.625,0.947368,raw,0.0044
PD→HD,SVM,0.833333,0.81746,-0.015873,0.804983,0.84398,0.038997,0.649351,0.959398,0.875,0.842105,raw,0.0012
PD→HD,XGBoost,0.807143,0.860041,0.052898,0.809681,0.850855,0.041174,0.600423,0.957075,0.625,0.947368,balanced,0.0035
HD→PD,DT,0.731935,0.911184,0.179249,0.74745,0.90435,0.1569,0.488889,0.911538,0.5,0.933333,balanced,0.034097
HD→PD,KNN,0.54902,0.785374,0.236354,0.603957,0.752501,0.148544,0.342857,0.752688,0.25,0.866667,raw,0.438556
HD→PD,LightGBM,0.731935,0.911184,0.179249,0.74745,0.90435,0.1569,0.488889,0.911538,0.5,0.933333,synthetic,0.033497
HD→PD,QDA,0.808333,0.871224,0.062891,0.829398,0.873218,0.04382,0.605714,0.955166,0.75,0.866667,synthetic,0.005899
HD→PD,RF,0.731935,0.911184,0.179249,0.74745,0.90435,0.1569,0.488889,0.915751,0.5,0.933333,raw,0.030497
HD→PD,SVM,0.616667,0.769231,0.152564,0.624807,0.854348,0.229541,0.383929,0.808333,0.5,0.733333,raw,0.256174
HD→PD,XGBoost,0.731935,0.957075,0.22514,0.74745,0.954603,0.207153,0.488889,0.911538,0.5,0.933333,raw,0.032197
PD→ALS,DT,0.697115,0.904167,0.207052,0.669252,0.902162,0.23291,0.464286,0.892857,0.625,0.769231,balanced,0.094591
PD→ALS,KNN,0.892857,0.865497,-0.02736,0.788058,0.875902,0.087844,0.713636,1.0,0.75,1.0,raw,0.0007
PD→ALS,LightGBM,0.740741,0.904167,0.163426,0.712077,0.901946,0.189869,0.505051,0.914286,0.625,0.846154,balanced,0.042896
PD→ALS,QDA,0.948148,0.860041,-0.088107,0.902826,0.835888,-0.066938,0.815249,1.0,0.875,1.0,synthetic,0.0001
PD→ALS,RF,0.697115,0.904167,0.207052,0.671551,0.899398,0.227847,0.464286,0.892857,0.625,0.769231,raw,0.090691
PD→ALS,SVM,0.899038,0.81746,-0.081578,0.859072,0.84398,-0.015092,0.7375,1.0,0.875,0.923077,raw,0.0009
PD→ALS,XGBoost,0.740741,0.860041,0.1193,0.715739,0.850855,0.135116,0.505051,0.904545,0.625,0.846154,balanced,0.040096
ALS→PD,DT,0.860041,0.844444,-0.015597,0.854761,0.838105,-0.016656,0.68616,1.0,0.875,0.866667,synthetic,0.0015
ALS→PD,KNN,0.734615,1.0,0.265385,0.683278,0.938265,0.254987,0.520833,0.90873,0.875,0.666667,synthetic,0.018298
ALS→PD,LightGBM,0.780952,0.844444,0.063492,0.725631,0.782201,0.05657,0.589286,0.946491,1.0,0.666667,balanced,0.0024
ALS→PD,QDA,0.808333,1.0,0.191667,0.798541,0.964236,0.165695,0.616667,0.953347,0.75,0.866667,synthetic,0.006199
ALS→PD,RF,0.81746,0.948148,0.130688,0.815262,0.917688,0.102426,0.624709,0.95619,0.875,0.8,raw,0.004
ALS→PD,SVM,0.808333,1.0,0.191667,0.775085,0.935244,0.160159,0.616667,0.955166,0.75,0.866667,synthetic,0.006099
ALS→PD,XGBoost,0.734615,0.844444,0.109829,0.716878,0.822365,0.105487,0.520833,0.90873,0.875,0.666667,balanced,0.020798
HD→ALS,DT,0.637037,0.911184,0.274147,0.611777,0.90435,0.292573,0.394231,0.844444,0.5,0.769231,balanced,0.214479
HD→ALS,KNN,0.60625,0.785374,0.179124,0.645197,0.752501,0.107304,0.363636,0.820513,0.25,1.0,raw,0.131887
HD→ALS,LightGBM,0.637037,0.911184,0.274147,0.611777,0.90435,0.292573,0.394231,0.844444,0.5,0.769231,synthetic,0.206579
HD→ALS,QDA,0.892857,0.871224,-0.021633,0.88708,0.873218,-0.013862,0.721485,1.0,0.75,1.0,synthetic,0.0003
HD→ALS,RF,0.637037,0.911184,0.274147,0.611777,0.90435,0.292573,0.4,0.844444,0.5,0.769231,raw,0.209479
HD→ALS,SVM,0.721485,0.769231,0.047746,0.732939,0.854348,0.121409,0.475,0.904545,0.5,0.923077,raw,0.047495
HD→ALS,XGBoost,0.637037,0.957075,0.320038,0.611777,0.954603,0.342826,0.394231,0.844444,0.5,0.769231,raw,0.211579
ALS→HD,DT,0.761765,0.844444,0.082679,0.752643,0.838105,0.085462,0.571429,0.916667,0.875,0.736842,synthetic,0.006699
ALS→HD,KNN,0.727273,1.0,0.272727,0.687903,0.938265,0.250362,0.527822,0.886396,0.875,0.684211,synthetic,0.011399
ALS→HD,LightGBM,0.805195,0.844444,0.039249,0.77868,0.782201,0.003521,0.629121,0.957075,1.0,0.736842,balanced,0.0007
ALS→HD,QDA,0.785374,1.0,0.214626,0.782793,0.964236,0.181443,0.589666,0.923295,0.75,0.842105,synthetic,0.006999
ALS→HD,RF,0.796992,0.948148,0.151156,0.767285,0.917688,0.150403,0.613672,0.949343,0.875,0.789474,raw,0.0028
ALS→HD,SVM,0.715789,1.0,0.284211,0.69906,0.935244,0.236184,0.517857,0.878195,0.75,0.736842,synthetic,0.028797
ALS→HD,XGBoost,0.761765,0.844444,0.082679,0.733917,0.822365,0.088448,0.571429,0.916667,0.875,0.736842,balanced,0.006299
