condition,classifier,subject_f1,stride_f1,subject_ci_low,subject_ci_high,stride_ci_low,stride_ci_high,subject_log_loss,subject_brier,subject_ece10,specificity_control,recall_disease,selected_strategy,modal_frequency,pool_subjects
pd,dt,0.904167,0.902162,0.744444,1.0,0.74186,1.0,1.206484,0.087492610263,0.0917672608695652,0.875,0.933333,balanced,19,23
pd,knn,0.865497,0.875902,0.693333,1.0,0.763614,0.957223,0.16901,0.05661130989030435,0.048581521739130384,1.0,0.8,raw,7,23
pd,lgbm,0.904167,0.901946,0.744444,1.0,0.741555,1.0,0.829578,0.09369329227843477,0.0738855652173914,0.875,0.933333,balanced,12,23
pd,qda,0.860041,0.835888,0.68616,1.0,0.674745,0.95185,0.302635,0.10074130300426089,0.13564113043478265,0.875,0.866667,synthetic,12,23
pd,rf,0.904167,0.899398,0.744444,1.0,0.73997,0.997063,0.779875,0.09864445567408697,0.1537489565217391,0.875,0.933333,raw,8,23
pd,svm,0.81746,0.84398,0.624709,0.95619,0.680463,0.963642,0.512045,0.12330983622017393,0.1383871304347826,0.875,0.8,raw,19,23
pd,xgb,0.860041,0.850855,0.68616,1.0,0.669748,0.988673,0.455043,0.12725136976234785,0.110381652173913,0.875,0.866667,balanced,17,23
hd,dt,0.911184,0.90435,0.753799,1.0,0.744947,1.0,1.023372,0.07407407407407407,0.07407407407407411,0.875,0.947368,balanced,27,27
hd,knn,0.785374,0.752501,0.583333,0.942918,0.587738,0.879612,0.510892,0.14773986585274074,0.14308948148148143,0.75,0.842105,raw,12,27
hd,lgbm,0.911184,0.90435,0.753799,1.0,0.744947,1.0,0.706306,0.07739119258407408,0.041663999999999986,0.875,0.947368,synthetic,24,27
hd,qda,0.871224,0.873218,0.706522,1.0,0.726252,0.977652,0.277465,0.07971745978614814,0.09781311111111113,0.875,0.894737,synthetic,27,27
hd,rf,0.911184,0.90435,0.753799,1.0,0.744947,1.0,0.720141,0.08955834126274075,0.12801614814814816,0.875,0.947368,raw,4,27
hd,svm,0.769231,0.854348,0.559783,0.933333,0.688788,0.982902,0.588337,0.1639837698276667,0.17828396296296306,0.625,0.894737,raw,20,27
hd,xgb,0.957075,0.954603,0.84803,1.0,0.840856,1.0,0.152397,0.035239844803259264,0.03746281481481488,1.0,0.947368,raw,26,27
als,dt,0.844444,0.838105,0.646465,1.0,0.672457,0.954951,0.89149,0.11757863635357142,0.12513823809523816,0.75,0.923077,synthetic,8,21
als,knn,1.0,0.938265,1.0,1.0,0.873086,0.985541,0.065769,0.014644325473571428,0.05622642857142857,1.0,1.0,synthetic,10,21
als,lgbm,0.844444,0.782201,0.646465,1.0,0.600035,0.916441,0.814211,0.13916417771861903,0.14081957142857138,0.75,0.923077,balanced,4,21
als,qda,1.0,0.964236,1.0,1.0,0.905869,0.994785,0.048145,0.011338518804047617,0.040121857142857174,1.0,1.0,synthetic,15,21
als,rf,0.948148,0.917688,0.815249,1.0,0.811934,0.982592,0.207957,0.05744846450023809,0.16708680952380947,0.875,1.0,raw,12,21
als,svm,1.0,0.935244,1.0,1.0,0.804918,0.996348,0.03883,0.005117160744476192,0.03592342857142865,1.0,1.0,synthetic,15,21
als,xgb,0.844444,0.822365,0.646465,1.0,0.636382,0.962132,0.265318,0.09558271960685713,0.10588133333333338,0.75,0.923077,balanced,10,21
