direction,source,target,classifier,subject_f1,stride_f1,within_subject_f1,within_stride_f1,delta_subject,delta_stride,subject_ci_low,subject_ci_high,stride_ci_low,stride_ci_high,control_specificity_subject,target_recall_subject,control_specificity_stride,target_recall_stride,selected_strategy,permutation_p_value
pd_to_hd,pd,hd,dt,0.807143,0.808212,0.904167,0.902162,0.097024,0.09395,0.589666,0.957075,0.796888,0.81904,0.625,0.947368,0.637149,0.941589,balanced,0.0038
pd_to_hd,pd,hd,knn,0.861538,0.761634,0.865497,0.875902,0.003959,0.114268,0.676923,1.0,0.748761,0.774035,0.75,0.947368,0.611231,0.89229,raw,0.0005
pd_to_hd,pd,hd,lgbm,0.807143,0.809436,0.904167,0.901946,0.097024,0.09251,0.589666,0.957075,0.798427,0.820067,0.625,0.947368,0.639849,0.941589,balanced,0.0049
pd_to_hd,pd,hd,qda,0.871224,0.853409,0.860041,0.835888,-0.011183,-0.017521,0.706522,1.0,0.843436,0.863021,0.875,0.894737,0.818575,0.898832,synthetic,0.0004
pd_to_hd,pd,hd,rf,0.807143,0.806739,0.904167,0.899398,0.097024,0.092659,0.589666,0.953846,0.794112,0.818121,0.625,0.947368,0.633909,0.941589,raw,0.0044
pd_to_hd,pd,hd,svm,0.833333,0.804983,0.81746,0.84398,-0.015873,0.038997,0.649351,0.959398,0.793844,0.816393,0.875,0.842105,0.74838,0.870093,raw,0.0012
pd_to_hd,pd,hd,xgb,0.807143,0.809681,0.860041,0.850855,0.052898,0.041174,0.600423,0.957075,0.798803,0.821807,0.625,0.947368,0.640389,0.941589,balanced,0.0035
hd_to_pd,hd,pd,dt,0.731935,0.74745,0.911184,0.90435,0.179249,0.1569,0.488889,0.911538,0.733753,0.759362,0.5,0.933333,0.521598,0.940832,balanced,0.034097
hd_to_pd,hd,pd,knn,0.54902,0.603957,0.785374,0.752501,0.236354,0.148544,0.342857,0.752688,0.5902,0.618284,0.25,0.866667,0.349892,0.855595,raw,0.438556
hd_to_pd,hd,pd,lgbm,0.731935,0.74745,0.911184,0.90435,0.179249,0.1569,0.488889,0.911538,0.73482,0.760378,0.5,0.933333,0.521598,0.940832,synthetic,0.033497
hd_to_pd,hd,pd,qda,0.808333,0.829398,0.871224,0.873218,0.062891,0.04382,0.605714,0.955166,0.818516,0.839276,0.75,0.866667,0.800216,0.865847,synthetic,0.005899
hd_to_pd,hd,pd,rf,0.731935,0.74745,0.911184,0.90435,0.179249,0.1569,0.488889,0.915751,0.734678,0.760016,0.5,0.933333,0.521598,0.940832,raw,0.030497
hd_to_pd,hd,pd,svm,0.616667,0.624807,0.769231,0.854348,0.152564,0.229541,0.383929,0.808333,0.611465,0.637973,0.5,0.733333,0.538337,0.71529,raw,0.256174
hd_to_pd,hd,pd,xgb,0.731935,0.74745,0.957075,0.954603,0.22514,0.207153,0.488889,0.911538,0.734362,0.760199,0.5,0.933333,0.521598,0.940832,raw,0.032197
pd_to_als,pd,als,dt,0.697115,0.669252,0.904167,0.902162,0.207052,0.23291,0.464286,0.892857,0.654489,0.683076,0.625,0.769231,0.637149,0.701532,balanced,0.094591
pd_to_als,pd,als,knn,0.892857,0.788058,0.865497,0.875902,-0.02736,0.087844,0.713636,1.0,0.775658,0.801544,0.75,1.0,0.611231,0.956236,raw,0.0007
pd_to_als,pd,als,lgbm,0.740741,0.712077,0.904167,0.901946,0.163426,0.189869,0.505051,0.914286,0.698703,0.726806,0.625,0.846154,0.639849,0.781619,balanced,0.042896
pd_to_als,pd,als,qda,0.948148,0.902826,0.860041,0.835888,-0.088107,-0.066938,0.815249,1.0,0.894069,0.912128,0.875,1.0,0.818575,0.976368,synthetic,0.0001
pd_to_als,pd,als,rf,0.697115,0.671551,0.904167,0.899398,0.207052,0.227847,0.464286,0.892857,0.658086,0.685611,0.625,0.769231,0.633909,0.708972,raw,0.090691
pd_to_als,pd,als,svm,0.899038,0.859072,0.81746,0.84398,-0.081578,-0.015092,0.7375,1.0,0.848396,0.869186,0.875,0.923077,0.74838,0.958425,raw,0.0009
pd_to_als,pd,als,xgb,0.740741,0.715739,0.860041,0.850855,0.1193,0.135116,0.505051,0.904545,0.701532,0.729278,0.625,0.846154,0.640389,0.788184,balanced,0.040096
als_to_pd,als,pd,dt,0.860041,0.854761,0.844444,0.838105,-0.015597,-0.016656,0.68616,1.0,0.845583,0.863999,0.875,0.866667,0.855832,0.869654,synthetic,0.0015
als_to_pd,als,pd,knn,0.734615,0.683278,1.0,0.938265,0.265385,0.254987,0.520833,0.90873,0.670323,0.695786,0.875,0.666667,0.845572,0.599297,synthetic,0.018298
als_to_pd,als,pd,lgbm,0.780952,0.725631,0.844444,0.782201,0.063492,0.05657,0.589286,0.946491,0.713348,0.737563,1.0,0.666667,0.959503,0.599883,balanced,0.0024
als_to_pd,als,pd,qda,0.808333,0.798541,1.0,0.964236,0.191667,0.165695,0.616667,0.953347,0.786968,0.808702,0.75,0.866667,0.762419,0.842121,synthetic,0.006199
als_to_pd,als,pd,rf,0.81746,0.815262,0.948148,0.917688,0.130688,0.102426,0.624709,0.95619,0.804359,0.826692,0.875,0.8,0.862851,0.802871,raw,0.004
als_to_pd,als,pd,svm,0.808333,0.775085,1.0,0.935244,0.191667,0.160159,0.616667,0.955166,0.762913,0.786921,0.75,0.866667,0.769978,0.799063,synthetic,0.006099
als_to_pd,als,pd,xgb,0.734615,0.716878,0.844444,0.822365,0.109829,0.105487,0.520833,0.90873,0.704698,0.728897,0.875,0.666667,0.845572,0.654071,balanced,0.020798
hd_to_als,hd,als,dt,0.637037,0.611777,0.911184,0.90435,0.274147,0.292573,0.394231,0.844444,0.596313,0.626542,0.5,0.769231,0.521598,0.701532,balanced,0.214479
hd_to_als,hd,als,knn,0.60625,0.645197,0.785374,0.752501,0.179124,0.107304,0.363636,0.820513,0.630633,0.660621,0.25,1.0,0.349892,0.979431,raw,0.131887
hd_to_als,hd,als,lgbm,0.637037,0.611777,0.911184,0.90435,0.274147,0.292573,0.394231,0.844444,0.596414,0.627571,0.5,0.769231,0.521598,0.701532,synthetic,0.206579
hd_to_als,hd,als,qda,0.892857,0.88708,0.871224,0.873218,-0.021633,-0.013862,0.721485,1.0,0.877536,0.895992,0.75,1.0,0.800216,0.963676,synthetic,0.0003
hd_to_als,hd,als,rf,0.637037,0.611777,0.911184,0.90435,0.274147,0.292573,0.4,0.844444,0.59713,0.627048,0.5,0.769231,0.521598,0.701532,raw,0.209479
hd_to_als,hd,als,svm,0.721485,0.732939,0.769231,0.854348,0.047746,0.121409,0.475,0.904545,0.717988,0.746084,0.5,0.923077,0.538337,0.926039,raw,0.047495
hd_to_als,hd,als,xgb,0.637037,0.611777,0.957075,0.954603,0.320038,0.342826,0.394231,0.844444,0.596785,0.627196,0.5,0.769231,0.521598,0.701532,raw,0.211579
als_to_hd,als,hd,dt,0.761765,0.752643,0.844444,0.838105,0.082679,0.085462,0.571429,0.916667,0.742084,0.763551,0.875,0.736842,0.855832,0.730374,synthetic,0.006699
als_to_hd,als,hd,knn,0.727273,0.687903,1.0,0.938265,0.272727,0.250362,0.527822,0.886396,0.676263,0.698986,0.875,0.684211,0.845572,0.635514,synthetic,0.011399
als_to_hd,als,hd,lgbm,0.805195,0.77868,0.844444,0.782201,0.039249,0.003521,0.629121,0.957075,0.767776,0.789121,1.0,0.736842,0.959503,0.714252,balanced,0.0007
als_to_hd,als,hd,qda,0.785374,0.782793,1.0,0.964236,0.214626,0.181443,0.589666,0.923295,0.771889,0.79371,0.75,0.842105,0.762419,0.829439,synthetic,0.006999
als_to_hd,als,hd,rf,0.796992,0.767285,0.948148,0.917688,0.151156,0.150403,0.613672,0.949343,0.756464,0.778349,0.875,0.789474,0.862851,0.748832,raw,0.0028
als_to_hd,als,hd,svm,0.715789,0.69906,1.0,0.935244,0.284211,0.236184,0.517857,0.878195,0.687057,0.710011,0.75,0.736842,0.769978,0.696028,synthetic,0.028797
als_to_hd,als,hd,xgb,0.761765,0.733917,0.844444,0.822365,0.082679,0.088448,0.571429,0.916667,0.722401,0.74482,0.875,0.736842,0.845572,0.707243,balanced,0.006299
