direction,classifier,feature,delta_j
als_to_hd,dt,left_stride_s,0.0002631581472025521
als_to_hd,dt,right_stride_s,0.0
als_to_hd,dt,left_swing_s,0.0
als_to_hd,dt,right_swing_s,0.0
als_to_hd,dt,left_swing_pct,0.0
als_to_hd,dt,right_swing_pct,0.0
als_to_hd,dt,left_stance_s,0.03367207625675281
als_to_hd,dt,right_stance_s,0.003643137981090644
als_to_hd,dt,double_support_s,0.010743903749957782
als_to_hd,dt,double_support_pct,0.0
als_to_hd,dt,asymmetry_index,0.0
als_to_hd,dt,cv_stride,0.0
als_to_hd,dt,cv_swing,0.05039489722425124
als_to_hd,dt,dfa_alpha_stride,0.08216959940768928
als_to_hd,knn,left_stride_s,0.0024240334944123157
als_to_hd,knn,right_stride_s,0.0010449206007208667
als_to_hd,knn,left_swing_s,0.00418861998148649
als_to_hd,knn,right_swing_s,0.005038286824140779
als_to_hd,knn,left_swing_pct,0.0008148591873307666
als_to_hd,knn,right_swing_pct,0.00038992323063818946
als_to_hd,knn,left_stance_s,0.0008357691530718331
als_to_hd,knn,right_stance_s,0.0013286765334030032
als_to_hd,knn,double_support_s,0.004334522086627456
als_to_hd,knn,double_support_pct,0.004932328793119896
als_to_hd,knn,asymmetry_index,0.007210305144745888
als_to_hd,knn,cv_stride,0.015004716042080896
als_to_hd,knn,cv_swing,0.016161198467613908
als_to_hd,knn,dfa_alpha_stride,0.005933211824640697
als_to_hd,lgbm,left_stride_s,0.0009628437218576723
als_to_hd,lgbm,right_stride_s,0.0015983315464965023
als_to_hd,lgbm,left_swing_s,2.1567691804536134e-05
als_to_hd,lgbm,right_swing_s,1.0578977175227581e-05
als_to_hd,lgbm,left_swing_pct,0.00016960285119719927
als_to_hd,lgbm,right_swing_pct,5.1622110286849506e-05
als_to_hd,lgbm,left_stance_s,0.016153451731337573
als_to_hd,lgbm,right_stance_s,0.016122483662186528
als_to_hd,lgbm,double_support_s,0.0026850368013823615
als_to_hd,lgbm,double_support_pct,0.00018310485035285054
als_to_hd,lgbm,asymmetry_index,4.905369770002738e-06
als_to_hd,lgbm,cv_stride,0.05292624681122743
als_to_hd,lgbm,cv_swing,0.006088371032198482
als_to_hd,lgbm,dfa_alpha_stride,0.0006387032279967231
als_to_hd,qda,left_stride_s,0.002759610148848464
als_to_hd,qda,right_stride_s,0.00853734240691749
als_to_hd,qda,left_swing_s,0.011567810452179535
als_to_hd,qda,right_swing_s,0.004207237304058975
als_to_hd,qda,left_swing_pct,0.0027649343250873634
als_to_hd,qda,right_swing_pct,0.0005547387126897882
als_to_hd,qda,left_stance_s,0.008704977713182007
als_to_hd,qda,right_stance_s,0.005583086918179565
als_to_hd,qda,double_support_s,0.010230997641540625
