direction,classifier,feature,delta_j_norm
als_to_hd,dt,left_stride_s,0.1251332882832734
als_to_hd,dt,right_stride_s,0.0
als_to_hd,dt,left_swing_s,0.0
als_to_hd,dt,right_swing_s,0.0
als_to_hd,dt,left_swing_pct,0.0
als_to_hd,dt,right_swing_pct,0.0
als_to_hd,dt,left_stance_s,0.1485110211794558
als_to_hd,dt,right_stance_s,0.04906304208355541
als_to_hd,dt,double_support_s,0.20464720330456285
als_to_hd,dt,double_support_pct,0.0
als_to_hd,dt,asymmetry_index,0.0
als_to_hd,dt,cv_stride,0.0
als_to_hd,dt,cv_swing,0.4133981475927912
als_to_hd,dt,dfa_alpha_stride,0.946111180427985
als_to_hd,knn,left_stride_s,0.06780750878679202
als_to_hd,knn,right_stride_s,0.029033594931180573
als_to_hd,knn,left_swing_s,0.1757792730533474
als_to_hd,knn,right_swing_s,0.19218476763038522
als_to_hd,knn,left_swing_pct,0.042070661351394124
als_to_hd,knn,right_swing_pct,0.019161943149551067
als_to_hd,knn,left_stance_s,0.021243078974353687
als_to_hd,knn,right_stance_s,0.035868215182063956
als_to_hd,knn,double_support_s,0.09563993544206388
als_to_hd,knn,double_support_pct,0.16830057998267983
als_to_hd,knn,asymmetry_index,1.5077643158539409
als_to_hd,knn,cv_stride,0.22812315726100518
als_to_hd,knn,cv_swing,0.40641291229319043
als_to_hd,knn,dfa_alpha_stride,0.07689263946071424
als_to_hd,lgbm,left_stride_s,0.05530485673540969
als_to_hd,lgbm,right_stride_s,0.16217263661249273
als_to_hd,lgbm,left_swing_s,0.10463819227612252
als_to_hd,lgbm,right_swing_s,0.05366585660873276
als_to_hd,lgbm,left_swing_pct,0.45420867399844184
als_to_hd,lgbm,right_swing_pct,0.05921684842110923
als_to_hd,lgbm,left_stance_s,0.17376761182777267
als_to_hd,lgbm,right_stance_s,0.24355554663828324
als_to_hd,lgbm,double_support_s,0.09201436655429787
als_to_hd,lgbm,double_support_pct,0.056923817309891975
als_to_hd,lgbm,asymmetry_index,0.015740338629035046
als_to_hd,lgbm,cv_stride,0.4951775505154968
als_to_hd,lgbm,cv_swing,0.15070140808891191
als_to_hd,lgbm,dfa_alpha_stride,0.008204241569964639
als_to_hd,qda,left_stride_s,0.24325268475631065
als_to_hd,qda,right_stride_s,0.36160216883980195
als_to_hd,qda,left_swing_s,0.23238344399196
als_to_hd,qda,right_swing_s,0.09433523657782476
als_to_hd,qda,left_swing_pct,0.08477568185708491
als_to_hd,qda,right_swing_pct,0.027229069675825487
als_to_hd,qda,left_stance_s,0.45343420181114835
als_to_hd,qda,right_stance_s,0.18581277964229917
als_to_hd,qda,double_support_s,0.24150104817227921
