direction,source,classifier,max_delta_j_norm,matched_degradation_subject
pd_to_hd,pd,rf,0.8840050881085206,0.097024
pd_to_hd,pd,knn,1.1968744760212706,0.003959
pd_to_hd,pd,svm,6.369489158106318,-0.015873
pd_to_hd,pd,dt,0.20627073181512384,0.097024
pd_to_hd,pd,qda,0.5176065387369236,-0.011183
pd_to_hd,pd,xgb,0.894428233370199,0.052898
pd_to_hd,pd,lgbm,0.8588895240952893,0.097024
hd_to_pd,hd,rf,0.24822571595482112,0.179249
hd_to_pd,hd,knn,0.9366325926236935,0.236354
hd_to_pd,hd,svm,0.9501596082016476,0.152564
hd_to_pd,hd,dt,4.773959005888152e-15,0.179249
hd_to_pd,hd,qda,0.4468940520115716,0.062891
hd_to_pd,hd,xgb,1.785256983495719e-14,0.22514
hd_to_pd,hd,lgbm,0.10839234970555875,0.179249
pd_to_als,pd,rf,0.4359200703235842,0.207052
pd_to_als,pd,knn,0.6586832281310839,-0.02736
pd_to_als,pd,svm,0.992635784395668,-0.081578
pd_to_als,pd,dt,1.2783637461707813,0.207052
pd_to_als,pd,qda,0.7063228198828473,-0.088107
pd_to_als,pd,xgb,0.8017140181333109,0.1193
pd_to_als,pd,lgbm,0.8235849292429387,0.163426
als_to_pd,als,rf,0.47543808517362274,0.130688
als_to_pd,als,knn,0.42835938218897757,0.265385
als_to_pd,als,svm,1.2700699401381041,0.191667
als_to_pd,als,dt,0.9036571382312575,-0.015597
als_to_pd,als,qda,0.4900500605444041,0.191667
als_to_pd,als,xgb,1.162453143983575,0.109829
als_to_pd,als,lgbm,0.3156955617415909,0.063492
hd_to_als,hd,rf,0.5376266565680525,0.274147
hd_to_als,hd,knn,1.6894252923776276,0.179124
hd_to_als,hd,svm,1.2975518523984013,0.047746
hd_to_als,hd,dt,2.220446049250313e-15,0.274147
hd_to_als,hd,qda,0.8951066193834161,-0.021633
hd_to_als,hd,xgb,1.4682544278031819e-08,0.320038
hd_to_als,hd,lgbm,0.0966054368058544,0.274147
als_to_hd,als,rf,1.545604609752012,0.151156
als_to_hd,als,knn,1.5077643158539409,0.272727
als_to_hd,als,svm,6.858373205638293,0.284211
als_to_hd,als,dt,0.946111180427985,0.082679
als_to_hd,als,qda,1.4791766348737918,0.214626
als_to_hd,als,xgb,0.6647320861802499,0.082679
als_to_hd,als,lgbm,0.4951775505154968,0.039249
