direction,classifier,family,delta_j_family
als_to_hd,dt,asymmetry,0.0
als_to_hd,dt,fractal,0.08217
als_to_hd,dt,phase_percentage,0.0
als_to_hd,dt,raw_timing,0.019548
als_to_hd,dt,variability,0.050395
als_to_hd,knn,asymmetry,0.00721
als_to_hd,knn,fractal,0.005933
als_to_hd,knn,phase_percentage,0.004507
als_to_hd,knn,raw_timing,0.007868
als_to_hd,knn,variability,0.031166
als_to_hd,lgbm,asymmetry,5e-06
als_to_hd,lgbm,fractal,0.000639
als_to_hd,lgbm,phase_percentage,3.8e-05
als_to_hd,lgbm,raw_timing,0.032163
als_to_hd,lgbm,variability,0.059015
als_to_hd,qda,asymmetry,0.013622
als_to_hd,qda,fractal,0.007673
als_to_hd,qda,phase_percentage,0.001104
als_to_hd,qda,raw_timing,0.051591
als_to_hd,qda,variability,0.064716
als_to_hd,rf,asymmetry,0.000964
als_to_hd,rf,fractal,0.025031
als_to_hd,rf,phase_percentage,0.002555
als_to_hd,rf,raw_timing,0.002
als_to_hd,rf,variability,0.058617
als_to_hd,svm,asymmetry,0.000673
als_to_hd,svm,fractal,0.03505
als_to_hd,svm,phase_percentage,0.019829
als_to_hd,svm,raw_timing,0.016667
als_to_hd,svm,variability,0.024665
als_to_hd,xgb,asymmetry,0.001094
als_to_hd,xgb,fractal,0.034875
als_to_hd,xgb,phase_percentage,0.002439
als_to_hd,xgb,raw_timing,0.023812
als_to_hd,xgb,variability,0.025986
als_to_pd,dt,asymmetry,0.0
als_to_pd,dt,fractal,0.035907
als_to_pd,dt,phase_percentage,0.0
als_to_pd,dt,raw_timing,0.002219
als_to_pd,dt,variability,0.110159
als_to_pd,knn,asymmetry,0.002048
als_to_pd,knn,fractal,0.005072
als_to_pd,knn,phase_percentage,0.010171
als_to_pd,knn,raw_timing,0.024581
als_to_pd,knn,variability,0.003776
als_to_pd,lgbm,asymmetry,1e-05
als_to_pd,lgbm,fractal,0.004324
als_to_pd,lgbm,phase_percentage,6e-05
als_to_pd,lgbm,raw_timing,0.015474
als_to_pd,lgbm,variability,0.011194
als_to_pd,qda,asymmetry,0.004513
als_to_pd,qda,fractal,0.021819
als_to_pd,qda,phase_percentage,0.023722
als_to_pd,qda,raw_timing,0.039853
als_to_pd,qda,variability,0.018452
als_to_pd,rf,asymmetry,0.000296
als_to_pd,rf,fractal,0.018697
als_to_pd,rf,phase_percentage,0.000913
als_to_pd,rf,raw_timing,0.016585
als_to_pd,rf,variability,0.03443
als_to_pd,svm,asymmetry,0.000125
als_to_pd,svm,fractal,0.043054
als_to_pd,svm,phase_percentage,0.029937
als_to_pd,svm,raw_timing,0.006053
als_to_pd,svm,variability,0.011666
als_to_pd,xgb,asymmetry,0.000523
als_to_pd,xgb,fractal,0.026302
als_to_pd,xgb,phase_percentage,0.004638
als_to_pd,xgb,raw_timing,0.028628
als_to_pd,xgb,variability,0.016036
hd_to_als,dt,asymmetry,0.0
hd_to_als,dt,fractal,0.0
hd_to_als,dt,phase_percentage,0.0
hd_to_als,dt,raw_timing,0.0
hd_to_als,dt,variability,0.0
