scope,domain,classifier,method,alpha,coverage_subject_level,coverage_subject_min,coverage_subject_max,coverage_subject_n,coverage_marginal,raw_mean_set_size,post_mean_set_size,raw_empty_rate,post_empty_rate
cross,als_to_hd,dt,aps,0.05,1.0,1.0,1.0,27.0,1.0,2.0,2.0,0.0,0.0
cross,als_to_hd,dt,aps,0.1,1.0,1.0,1.0,27.0,1.0,2.0,2.0,0.0,0.0
cross,als_to_hd,dt,aps,0.2,1.0,1.0,1.0,27.0,1.0,2.0,2.0,0.0,0.0
cross,als_to_hd,dt,lac,0.05,0.775484,0.0,1.0,27.0,0.768265,0.982387,1.0,0.017613,0.0
cross,als_to_hd,dt,lac,0.1,0.775484,0.0,1.0,27.0,0.768265,0.982387,1.0,0.017613,0.0
cross,als_to_hd,dt,lac,0.2,0.775484,0.0,1.0,27.0,0.768265,0.982387,1.0,0.017613,0.0
cross,als_to_hd,dt,hard_label_consensus_curve,1.0,1.0,,,,,,,,
cross,als_to_hd,dt,hard_label_consensus_curve,10.0,0.849444,,,,,,,,
cross,als_to_hd,dt,hard_label_consensus_curve,25.0,0.754444,,,,,,,,
cross,als_to_hd,dt,hard_label_consensus_curve,3.0,0.934815,,,,,,,,
cross,als_to_hd,dt,hard_label_consensus_curve,5.0,0.897222,,,,,,,,
cross,als_to_hd,dt,hard_label_consensus_curve,50.0,0.696111,,,,,,,,
cross,als_to_hd,knn,aps,0.05,0.999718,0.995851,1.0,27.0,0.999674,1.999511,1.999511,0.0,0.0
cross,als_to_hd,knn,aps,0.1,0.999718,0.995851,1.0,27.0,0.999674,1.999511,1.999511,0.0,0.0
cross,als_to_hd,knn,aps,0.2,0.999718,0.995851,1.0,27.0,0.999674,1.999511,1.999511,0.0,0.0
cross,als_to_hd,knn,lac,0.05,0.713502,0.0,1.0,27.0,0.698956,0.947326,1.0,0.052674,0.0
cross,als_to_hd,knn,lac,0.1,0.713502,0.0,1.0,27.0,0.698956,0.947326,1.0,0.052674,0.0
cross,als_to_hd,knn,lac,0.2,0.713502,0.0,1.0,27.0,0.698956,0.947326,1.0,0.052674,0.0
cross,als_to_hd,knn,hard_label_consensus_curve,1.0,1.0,,,,,,,,
cross,als_to_hd,knn,hard_label_consensus_curve,10.0,0.787037,,,,,,,,
cross,als_to_hd,knn,hard_label_consensus_curve,25.0,0.699074,,,,,,,,
cross,als_to_hd,knn,hard_label_consensus_curve,3.0,0.893704,,,,,,,,
cross,als_to_hd,knn,hard_label_consensus_curve,5.0,0.85463,,,,,,,,
cross,als_to_hd,knn,hard_label_consensus_curve,50.0,0.628704,,,,,,,,
cross,als_to_hd,lgbm,aps,0.05,0.799746,0.0,1.0,27.0,0.788324,0.983203,1.0,0.016797,0.0
cross,als_to_hd,lgbm,aps,0.1,0.799746,0.0,1.0,27.0,0.788324,0.977332,1.0,0.022668,0.0
cross,als_to_hd,lgbm,aps,0.2,0.799746,0.0,1.0,27.0,0.788324,0.946021,1.0,0.053979,0.0
cross,als_to_hd,lgbm,lac,0.05,0.799746,0.0,1.0,27.0,0.788324,0.655903,1.0,0.344097,0.0
cross,als_to_hd,lgbm,lac,0.1,0.799746,0.0,1.0,27.0,0.788324,0.567678,1.0,0.432322,0.0
cross,als_to_hd,lgbm,lac,0.2,0.799746,0.0,1.0,27.0,0.788324,0.34165,1.0,0.65835,0.0
cross,als_to_hd,lgbm,hard_label_consensus_curve,1.0,1.0,,,,,,,,
cross,als_to_hd,lgbm,hard_label_consensus_curve,10.0,0.883889,,,,,,,,
cross,als_to_hd,lgbm,hard_label_consensus_curve,25.0,0.807222,,,,,,,,
cross,als_to_hd,lgbm,hard_label_consensus_curve,3.0,0.95463,,,,,,,,
cross,als_to_hd,lgbm,hard_label_consensus_curve,5.0,0.927593,,,,,,,,
cross,als_to_hd,lgbm,hard_label_consensus_curve,50.0,0.76537,,,,,,,,
cross,als_to_hd,qda,aps,0.05,0.99251,0.937759,1.0,27.0,0.992172,1.978311,1.978311,0.0,0.0
cross,als_to_hd,qda,aps,0.1,0.99251,0.937759,1.0,27.0,0.992172,1.978311,1.978311,0.0,0.0
cross,als_to_hd,qda,aps,0.2,0.99251,0.937759,1.0,27.0,0.992172,1.978311,1.978311,0.0,0.0
cross,als_to_hd,qda,lac,0.05,0.809027,0.0,1.0,27.0,0.809198,0.80985,1.0,0.19015,0.0
cross,als_to_hd,qda,lac,0.1,0.809027,0.0,1.0,27.0,0.809198,0.760111,1.0,0.239889,0.0
cross,als_to_hd,qda,lac,0.2,0.809027,0.0,1.0,27.0,0.809198,0.690802,1.0,0.309198,0.0
cross,als_to_hd,qda,hard_label_consensus_curve,1.0,1.0,,,,,,,,
cross,als_to_hd,qda,hard_label_consensus_curve,10.0,0.80463,,,,,,,,
cross,als_to_hd,qda,hard_label_consensus_curve,25.0,0.757778,,,,,,,,
cross,als_to_hd,qda,hard_label_consensus_curve,3.0,0.886481,,,,,,,,
cross,als_to_hd,qda,hard_label_consensus_curve,5.0,0.850185,,,,,,,,
cross,als_to_hd,qda,hard_label_consensus_curve,50.0,0.730741,,,,,,,,
cross,als_to_hd,rf,aps,0.05,0.998918,0.979253,1.0,27.0,0.998858,1.973255,1.973255,0.0,0.0
cross,als_to_hd,rf,aps,0.1,0.998918,0.979253,1.0,27.0,0.998858,1.973255,1.973255,0.0,0.0
cross,als_to_hd,rf,aps,0.2,0.998918,0.979253,1.0,27.0,0.998858,1.973255,1.973255,0.0,0.0
cross,als_to_hd,rf,lac,0.05,0.786443,0.0,1.0,27.0,0.783268,0.402642,1.0,0.597358,0.0
cross,als_to_hd,rf,lac,0.1,0.786443,0.0,1.0,27.0,0.783268,0.341813,1.0,0.658187,0.0
cross,als_to_hd,rf,lac,0.2,0.786443,0.0,1.0,27.0,0.783268,0.285225,1.0,0.714775,0.0
cross,als_to_hd,rf,hard_label_consensus_curve,1.0,1.0,,,,,,,,
cross,als_to_hd,rf,hard_label_consensus_curve,10.0,0.875926,,,,,,,,
cross,als_to_hd,rf,hard_label_consensus_curve,25.0,0.814074,,,,,,,,
cross,als_to_hd,rf,hard_label_consensus_curve,3.0,0.937407,,,,,,,,
cross,als_to_hd,rf,hard_label_consensus_curve,5.0,0.914259,,,,,,,,
cross,als_to_hd,rf,hard_label_consensus_curve,50.0,0.776296,,,,,,,,
cross,als_to_hd,svm,aps,0.05,0.729186,0.0,1.0,27.0,0.717873,1.0,1.0,0.0,0.0
cross,als_to_hd,svm,aps,0.1,0.729186,0.0,1.0,27.0,0.717873,1.0,1.0,0.0,0.0
cross,als_to_hd,svm,aps,0.2,0.729186,0.0,1.0,27.0,0.717873,1.0,1.0,0.0,0.0
cross,als_to_hd,svm,lac,0.05,0.729186,0.0,1.0,27.0,0.717873,0.844097,1.0,0.155903,0.0
cross,als_to_hd,svm,lac,0.1,0.729186,0.0,1.0,27.0,0.717873,0.804631,1.0,0.195369,0.0
cross,als_to_hd,svm,lac,0.2,0.729186,0.0,1.0,27.0,0.717873,0.752772,1.0,0.247228,0.0
cross,als_to_hd,svm,hard_label_consensus_curve,1.0,1.0,,,,,,,,
cross,als_to_hd,svm,hard_label_consensus_curve,10.0,0.837963,,,,,,,,
cross,als_to_hd,svm,hard_label_consensus_curve,25.0,0.778148,,,,,,,,
cross,als_to_hd,svm,hard_label_consensus_curve,3.0,0.920926,,,,,,,,
cross,als_to_hd,svm,hard_label_consensus_curve,5.0,0.890741,,,,,,,,
cross,als_to_hd,svm,hard_label_consensus_curve,50.0,0.755,,,,,,,,
cross,als_to_hd,xgb,aps,0.05,0.753611,0.0,1.0,27.0,0.749022,1.0,1.0,0.0,0.0
cross,als_to_hd,xgb,aps,0.1,0.753611,0.0,1.0,27.0,0.749022,0.927593,1.0,0.072407,0.0
cross,als_to_hd,xgb,aps,0.2,0.753611,0.0,1.0,27.0,0.749022,0.84214,1.0,0.15786,0.0
cross,als_to_hd,xgb,lac,0.05,0.753611,0.0,1.0,27.0,0.749022,0.53441,1.0,0.46559,0.0
cross,als_to_hd,xgb,lac,0.1,0.753611,0.0,1.0,27.0,0.749022,0.505871,1.0,0.494129,0.0
cross,als_to_hd,xgb,lac,0.2,0.753611,0.0,1.0,27.0,0.749022,0.480104,1.0,0.519896,0.0
cross,als_to_hd,xgb,hard_label_consensus_curve,1.0,1.0,,,,,,,,
cross,als_to_hd,xgb,hard_label_consensus_curve,10.0,0.82463,,,,,,,,
cross,als_to_hd,xgb,hard_label_consensus_curve,25.0,0.767037,,,,,,,,
cross,als_to_hd,xgb,hard_label_consensus_curve,3.0,0.90537,,,,,,,,
cross,als_to_hd,xgb,hard_label_consensus_curve,5.0,0.868148,,,,,,,,
cross,als_to_hd,xgb,hard_label_consensus_curve,50.0,0.735,,,,,,,,
cross,als_to_pd,dt,aps,0.05,1.0,1.0,1.0,23.0,1.0,2.0,2.0,0.0,0.0
cross,als_to_pd,dt,aps,0.1,1.0,1.0,1.0,23.0,1.0,2.0,2.0,0.0,0.0
cross,als_to_pd,dt,aps,0.2,1.0,1.0,1.0,23.0,1.0,2.0,2.0,0.0,0.0
cross,als_to_pd,dt,lac,0.05,0.866013,0.0,1.0,23.0,0.864793,0.98101,1.0,0.01899,0.0
cross,als_to_pd,dt,lac,0.1,0.866013,0.0,1.0,23.0,0.864793,0.98101,1.0,0.01899,0.0
