scope,domain,corruption,variant,severity,classifier,mean_f1
cross,als_to_hd,benchmark_label_corruption,direct,heavy,dt,0.6500315999999999
cross,als_to_hd,benchmark_label_corruption,direct,heavy,knn,0.6160079666666666
cross,als_to_hd,benchmark_label_corruption,direct,heavy,lgbm,0.6682880666666667
cross,als_to_hd,benchmark_label_corruption,direct,heavy,qda,0.6601139333333332
cross,als_to_hd,benchmark_label_corruption,direct,heavy,rf,0.6598558333333333
cross,als_to_hd,benchmark_label_corruption,direct,heavy,svm,0.6186937
cross,als_to_hd,benchmark_label_corruption,direct,heavy,xgb,0.6404351666666666
cross,als_to_hd,benchmark_label_corruption,direct,light,dt,0.7279982666666667
cross,als_to_hd,benchmark_label_corruption,direct,light,knn,0.6699307666666666
cross,als_to_hd,benchmark_label_corruption,direct,light,lgbm,0.7504180666666667
cross,als_to_hd,benchmark_label_corruption,direct,light,qda,0.7511384333333334
cross,als_to_hd,benchmark_label_corruption,direct,light,rf,0.7396221000000001
cross,als_to_hd,benchmark_label_corruption,direct,light,svm,0.6792529000000002
cross,als_to_hd,benchmark_label_corruption,direct,light,xgb,0.7115403333333334
cross,als_to_hd,benchmark_label_corruption,direct,medium,dt,0.7022708666666665
cross,als_to_hd,benchmark_label_corruption,direct,medium,knn,0.6511623666666667
cross,als_to_hd,benchmark_label_corruption,direct,medium,lgbm,0.7230305
cross,als_to_hd,benchmark_label_corruption,direct,medium,qda,0.7212302333333331
cross,als_to_hd,benchmark_label_corruption,direct,medium,rf,0.7119354999999998
cross,als_to_hd,benchmark_label_corruption,direct,medium,svm,0.6591324333333335
cross,als_to_hd,benchmark_label_corruption,direct,medium,xgb,0.6863958666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,heavy,dt,0.7720258666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,heavy,knn,0.6794979666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,heavy,lgbm,0.7395785333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,heavy,qda,0.5656092666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,heavy,rf,0.7427554333333334
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,heavy,svm,0.6998211666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,heavy,xgb,0.7685696999999998
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,light,dt,0.7643649666666664
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,light,knn,0.6885287999999999
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,light,lgbm,0.7622400333333332
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,light,qda,0.7900379666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,light,rf,0.7676432666666668
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,light,svm,0.6993147333333334
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,light,xgb,0.7356268333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,medium,dt,0.7579713333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,medium,knn,0.6975094999999999
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,medium,lgbm,0.7730991333333334
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,medium,qda,0.7206053333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,medium,rf,0.7740720000000001
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,medium,svm,0.6994235
cross,als_to_hd,engineered_feature_gain_bias_drift,pooled_relative,medium,xgb,0.7399754666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,heavy,dt,0.7598023333333334
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,heavy,knn,0.7047832666666666
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,heavy,lgbm,0.7481240000000001
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,heavy,qda,0.5890644666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,heavy,rf,0.7534036333333334
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,heavy,svm,0.6943972333333335
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,heavy,xgb,0.7364227000000002
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,light,dt,0.7593226333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,light,knn,0.6883083000000002
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,light,lgbm,0.7652620666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,light,qda,0.786807
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,light,rf,0.7675829999999999
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,light,svm,0.6953107000000001
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,light,xgb,0.7319904666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,medium,dt,0.7660675999999998
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,medium,knn,0.6882536666666665
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,medium,lgbm,0.7598668333333335
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,medium,qda,0.7187311666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,medium,rf,0.7697558333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,medium,svm,0.6906132666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,source_relative,medium,xgb,0.7366234000000002
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,heavy,dt,0.7359823000000001
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,heavy,knn,0.6768995333333334
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,heavy,lgbm,0.7555717000000002
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,heavy,qda,0.5543524666666667
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,heavy,rf,0.7468044333333332
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,heavy,svm,0.6621120333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,heavy,xgb,0.7309169333333332
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,light,dt,0.7587657000000001
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,light,knn,0.6903647333333331
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,light,lgbm,0.7605071000000001
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,light,qda,0.7817421666666665
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,light,rf,0.7619476666666664
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,light,svm,0.6977167333333334
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,light,xgb,0.7326819
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,medium,dt,0.7551622333333333
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,medium,knn,0.6940705666666668
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,medium,lgbm,0.7698334666666666
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,medium,qda,0.6910879
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,medium,rf,0.7650707666666665
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,medium,svm,0.689418
cross,als_to_hd,engineered_feature_gain_bias_drift,target_relative,medium,xgb,0.7544267999999998
cross,als_to_hd,engineered_feature_masking,direct,heavy,dt,0.7501734999999999
cross,als_to_hd,engineered_feature_masking,direct,heavy,knn,0.6935188666666666
cross,als_to_hd,engineered_feature_masking,direct,heavy,lgbm,0.7764781
cross,als_to_hd,engineered_feature_masking,direct,heavy,qda,0.7175119333333334
cross,als_to_hd,engineered_feature_masking,direct,heavy,rf,0.7773014333333335
cross,als_to_hd,engineered_feature_masking,direct,heavy,svm,0.6387754333333334
cross,als_to_hd,engineered_feature_masking,direct,heavy,xgb,0.7454568
cross,als_to_hd,engineered_feature_masking,direct,light,dt,0.7519248666666666
cross,als_to_hd,engineered_feature_masking,direct,light,knn,0.6890120333333333
cross,als_to_hd,engineered_feature_masking,direct,light,lgbm,0.7782896
cross,als_to_hd,engineered_feature_masking,direct,light,qda,0.7734518666666669
cross,als_to_hd,engineered_feature_masking,direct,light,rf,0.7692781666666665
cross,als_to_hd,engineered_feature_masking,direct,light,svm,0.6898894666666667
cross,als_to_hd,engineered_feature_masking,direct,light,xgb,0.7360365333333334
cross,als_to_hd,engineered_feature_masking,direct,medium,dt,0.7508413666666668
cross,als_to_hd,engineered_feature_masking,direct,medium,knn,0.6910790666666669
cross,als_to_hd,engineered_feature_masking,direct,medium,lgbm,0.7776232000000001
cross,als_to_hd,engineered_feature_masking,direct,medium,qda,0.7524381666666666
cross,als_to_hd,engineered_feature_masking,direct,medium,rf,0.7727678
cross,als_to_hd,engineered_feature_masking,direct,medium,svm,0.6696595999999999
cross,als_to_hd,engineered_feature_masking,direct,medium,xgb,0.7392998666666666
cross,als_to_hd,evaluation_row_dropout,direct,heavy,dt,0.752194
cross,als_to_hd,evaluation_row_dropout,direct,heavy,knn,0.6879570333333334
cross,als_to_hd,evaluation_row_dropout,direct,heavy,lgbm,0.7776388999999999
cross,als_to_hd,evaluation_row_dropout,direct,heavy,qda,0.7826115333333333
cross,als_to_hd,evaluation_row_dropout,direct,heavy,rf,0.7683499333333333
cross,als_to_hd,evaluation_row_dropout,direct,heavy,svm,0.6986142333333334
