scope,domain,classifier,family,drop
cross,als_to_hd,dt,asymmetry,0.0
cross,als_to_hd,dt,fractal,0.077977
cross,als_to_hd,dt,phase_percentage,0.0
cross,als_to_hd,dt,raw_timing,0.15393
cross,als_to_hd,dt,variability,0.110821
cross,als_to_hd,knn,asymmetry,0.002121
cross,als_to_hd,knn,fractal,0.030041
cross,als_to_hd,knn,phase_percentage,-0.00468
cross,als_to_hd,knn,raw_timing,-0.034186
cross,als_to_hd,knn,variability,0.08345
cross,als_to_hd,lgbm,asymmetry,0.0
cross,als_to_hd,lgbm,fractal,0.049567
cross,als_to_hd,lgbm,phase_percentage,0.000186
cross,als_to_hd,lgbm,raw_timing,0.033004
cross,als_to_hd,lgbm,variability,0.184066
cross,als_to_hd,qda,asymmetry,0.045947
cross,als_to_hd,qda,fractal,0.056722
cross,als_to_hd,qda,phase_percentage,0.075164
cross,als_to_hd,qda,raw_timing,0.230119
cross,als_to_hd,qda,variability,0.274293
cross,als_to_hd,rf,asymmetry,-0.000462
cross,als_to_hd,rf,fractal,-0.014779
cross,als_to_hd,rf,phase_percentage,0.000282
cross,als_to_hd,rf,raw_timing,-0.105252
cross,als_to_hd,rf,variability,0.093387
cross,als_to_hd,svm,asymmetry,-0.000439
cross,als_to_hd,svm,fractal,0.050112
cross,als_to_hd,svm,phase_percentage,0.017104
cross,als_to_hd,svm,raw_timing,-0.007814
cross,als_to_hd,svm,variability,0.066516
cross,als_to_hd,xgb,asymmetry,-0.000604
cross,als_to_hd,xgb,fractal,0.016052
cross,als_to_hd,xgb,phase_percentage,9.6e-05
cross,als_to_hd,xgb,raw_timing,-0.144014
cross,als_to_hd,xgb,variability,0.041515
cross,als_to_pd,dt,asymmetry,0.0
cross,als_to_pd,dt,fractal,0.056648
cross,als_to_pd,dt,phase_percentage,0.0
cross,als_to_pd,dt,raw_timing,0.307751
cross,als_to_pd,dt,variability,0.2254
cross,als_to_pd,knn,asymmetry,-0.002615
cross,als_to_pd,knn,fractal,0.044184
cross,als_to_pd,knn,phase_percentage,0.009102
cross,als_to_pd,knn,raw_timing,-0.037775
cross,als_to_pd,knn,variability,0.040938
cross,als_to_pd,lgbm,asymmetry,0.0
cross,als_to_pd,lgbm,fractal,0.092749
cross,als_to_pd,lgbm,phase_percentage,-0.001643
cross,als_to_pd,lgbm,raw_timing,0.208289
cross,als_to_pd,lgbm,variability,0.081749
cross,als_to_pd,qda,asymmetry,0.005721
cross,als_to_pd,qda,fractal,0.019277
cross,als_to_pd,qda,phase_percentage,0.179038
cross,als_to_pd,qda,raw_timing,0.222346
cross,als_to_pd,qda,variability,0.143734
cross,als_to_pd,rf,asymmetry,0.00055
cross,als_to_pd,rf,fractal,0.062815
cross,als_to_pd,rf,phase_percentage,0.017463
cross,als_to_pd,rf,raw_timing,-0.142105
cross,als_to_pd,rf,variability,0.211277
cross,als_to_pd,svm,asymmetry,0.000225
cross,als_to_pd,svm,fractal,0.079843
cross,als_to_pd,svm,phase_percentage,0.080503
cross,als_to_pd,svm,raw_timing,0.014271
cross,als_to_pd,svm,variability,0.113479
cross,als_to_pd,xgb,asymmetry,-0.000386
cross,als_to_pd,xgb,fractal,0.044714
cross,als_to_pd,xgb,phase_percentage,-0.00267
cross,als_to_pd,xgb,raw_timing,-0.115114
cross,als_to_pd,xgb,variability,0.063973
cross,hd_to_als,dt,asymmetry,0.0
cross,hd_to_als,dt,fractal,0.0
cross,hd_to_als,dt,phase_percentage,0.0
cross,hd_to_als,dt,raw_timing,0.0
cross,hd_to_als,dt,variability,0.117358
cross,hd_to_als,knn,asymmetry,0.018276
cross,hd_to_als,knn,fractal,0.019245
cross,hd_to_als,knn,phase_percentage,0.000654
cross,hd_to_als,knn,raw_timing,-0.180107
cross,hd_to_als,knn,variability,0.069309
cross,hd_to_als,lgbm,asymmetry,0.0
cross,hd_to_als,lgbm,fractal,0.0
cross,hd_to_als,lgbm,phase_percentage,0.0
cross,hd_to_als,lgbm,raw_timing,0.0
cross,hd_to_als,lgbm,variability,0.110921
cross,hd_to_als,qda,asymmetry,0.025407
cross,hd_to_als,qda,fractal,0.089421
cross,hd_to_als,qda,phase_percentage,1.047814
cross,hd_to_als,qda,raw_timing,2.326933
cross,hd_to_als,qda,variability,0.288135
cross,hd_to_als,rf,asymmetry,0.0
cross,hd_to_als,rf,fractal,0.0
cross,hd_to_als,rf,phase_percentage,0.0
cross,hd_to_als,rf,raw_timing,0.0
cross,hd_to_als,rf,variability,-0.006314
cross,hd_to_als,svm,asymmetry,0.007104
cross,hd_to_als,svm,fractal,0.086901
cross,hd_to_als,svm,phase_percentage,-0.020565
cross,hd_to_als,svm,raw_timing,0.153021
cross,hd_to_als,svm,variability,0.16201
cross,hd_to_als,xgb,asymmetry,0.0
cross,hd_to_als,xgb,fractal,0.0
cross,hd_to_als,xgb,phase_percentage,0.0
cross,hd_to_als,xgb,raw_timing,0.0
cross,hd_to_als,xgb,variability,0.119339
cross,hd_to_pd,dt,asymmetry,0.0
cross,hd_to_pd,dt,fractal,0.0
cross,hd_to_pd,dt,phase_percentage,0.0
cross,hd_to_pd,dt,raw_timing,0.0
cross,hd_to_pd,dt,variability,0.253014
cross,hd_to_pd,knn,asymmetry,0.018133
cross,hd_to_pd,knn,fractal,0.022703
cross,hd_to_pd,knn,phase_percentage,0.029299
cross,hd_to_pd,knn,raw_timing,-0.073602
cross,hd_to_pd,knn,variability,0.095823
cross,hd_to_pd,lgbm,asymmetry,0.0
cross,hd_to_pd,lgbm,fractal,0.0
cross,hd_to_pd,lgbm,phase_percentage,0.0
cross,hd_to_pd,lgbm,raw_timing,0.0
cross,hd_to_pd,lgbm,variability,0.2558
cross,hd_to_pd,qda,asymmetry,0.015359
cross,hd_to_pd,qda,fractal,0.050834
cross,hd_to_pd,qda,phase_percentage,0.815363
cross,hd_to_pd,qda,raw_timing,1.513601
