scope,domain,classifier,rank,feature,drop
cross,als_to_hd,dt,1,double_support_s,0.116354
cross,als_to_hd,dt,2,cv_swing,0.110821
cross,als_to_hd,dt,3,dfa_alpha_stride,0.077977
cross,als_to_hd,knn,1,cv_stride,0.050014
cross,als_to_hd,knn,2,cv_swing,0.033436
cross,als_to_hd,knn,3,dfa_alpha_stride,0.030041
cross,als_to_hd,lgbm,1,cv_stride,0.183134
cross,als_to_hd,lgbm,2,dfa_alpha_stride,0.049567
cross,als_to_hd,lgbm,3,right_stance_s,0.017837
cross,als_to_hd,qda,1,cv_stride,0.171617
cross,als_to_hd,qda,2,cv_swing,0.102676
cross,als_to_hd,qda,3,double_support_s,0.073971
cross,als_to_hd,rf,1,cv_stride,0.072702
cross,als_to_hd,rf,2,cv_swing,0.020685
cross,als_to_hd,rf,3,left_swing_pct,0.000718
cross,als_to_hd,svm,1,cv_stride,0.052105
cross,als_to_hd,svm,2,dfa_alpha_stride,0.050112
cross,als_to_hd,svm,3,cv_swing,0.014411
cross,als_to_hd,xgb,1,cv_stride,0.045844
cross,als_to_hd,xgb,2,dfa_alpha_stride,0.016052
cross,als_to_hd,xgb,3,double_support_s,0.000186
cross,als_to_pd,dt,1,cv_swing,0.2254
cross,als_to_pd,dt,2,double_support_s,0.136515
cross,als_to_pd,dt,3,right_stance_s,0.098869
cross,als_to_pd,knn,1,dfa_alpha_stride,0.044184
cross,als_to_pd,knn,2,cv_stride,0.03089
cross,als_to_pd,knn,3,cv_swing,0.010048
cross,als_to_pd,lgbm,1,left_stance_s,0.119569
cross,als_to_pd,lgbm,2,dfa_alpha_stride,0.092749
cross,als_to_pd,lgbm,3,right_stance_s,0.091864
cross,als_to_pd,qda,1,double_support_pct,0.120589
cross,als_to_pd,qda,2,cv_stride,0.084895
cross,als_to_pd,qda,3,double_support_s,0.071028
cross,als_to_pd,rf,1,cv_swing,0.117392
cross,als_to_pd,rf,2,cv_stride,0.093885
cross,als_to_pd,rf,3,dfa_alpha_stride,0.062815
cross,als_to_pd,svm,1,dfa_alpha_stride,0.079843
cross,als_to_pd,svm,2,cv_stride,0.078545
cross,als_to_pd,svm,3,double_support_pct,0.04374
cross,als_to_pd,xgb,1,dfa_alpha_stride,0.044714
cross,als_to_pd,xgb,2,cv_swing,0.03933
cross,als_to_pd,xgb,3,cv_stride,0.024643
cross,hd_to_als,dt,1,cv_stride,0.117358
cross,hd_to_als,dt,2,asymmetry_index,-0.0
cross,hd_to_als,dt,3,cv_swing,-0.0
cross,hd_to_als,knn,1,cv_stride,0.050518
cross,hd_to_als,knn,2,right_swing_pct,0.028436
cross,hd_to_als,knn,3,dfa_alpha_stride,0.019245
cross,hd_to_als,lgbm,1,cv_stride,0.110921
cross,hd_to_als,lgbm,2,asymmetry_index,-0.0
cross,hd_to_als,lgbm,3,cv_swing,-0.0
cross,hd_to_als,qda,1,left_stance_s,0.373882
cross,hd_to_als,qda,2,right_stance_s,0.37225
cross,hd_to_als,qda,3,double_support_pct,0.364947
cross,hd_to_als,rf,1,cv_stride,0.01675
cross,hd_to_als,rf,2,asymmetry_index,-0.0
cross,hd_to_als,rf,3,dfa_alpha_stride,-0.0
cross,hd_to_als,svm,1,cv_stride,0.192901
cross,hd_to_als,svm,2,dfa_alpha_stride,0.086901
cross,hd_to_als,svm,3,left_stride_s,0.041071
cross,hd_to_als,xgb,1,cv_stride,0.119339
cross,hd_to_als,xgb,2,asymmetry_index,-0.0
cross,hd_to_als,xgb,3,cv_swing,-0.0
cross,hd_to_pd,dt,1,cv_stride,0.253014
cross,hd_to_pd,dt,2,asymmetry_index,-0.0
cross,hd_to_pd,dt,3,cv_swing,-0.0
cross,hd_to_pd,knn,1,cv_stride,0.064678
cross,hd_to_pd,knn,2,right_swing_pct,0.034268
cross,hd_to_pd,knn,3,cv_swing,0.031145
cross,hd_to_pd,lgbm,1,cv_stride,0.2558
cross,hd_to_pd,lgbm,2,asymmetry_index,-0.0
cross,hd_to_pd,lgbm,3,cv_swing,-0.0
cross,hd_to_pd,qda,1,left_swing_pct,0.283765
cross,hd_to_pd,qda,2,left_swing_s,0.280478
cross,hd_to_pd,qda,3,double_support_pct,0.277093
cross,hd_to_pd,rf,1,cv_stride,0.208222
cross,hd_to_pd,rf,2,cv_swing,0.015866
cross,hd_to_pd,rf,3,asymmetry_index,-0.0
cross,hd_to_pd,svm,1,cv_stride,0.239291
cross,hd_to_pd,svm,2,dfa_alpha_stride,0.07698
cross,hd_to_pd,svm,3,asymmetry_index,0.008186
cross,hd_to_pd,xgb,1,cv_stride,0.25255
cross,hd_to_pd,xgb,2,asymmetry_index,-0.0
cross,hd_to_pd,xgb,3,cv_swing,-0.0
cross,pd_to_als,dt,1,cv_stride,0.154154
cross,pd_to_als,dt,2,right_stride_s,0.055813
cross,pd_to_als,dt,3,cv_swing,0.0
cross,pd_to_als,knn,1,cv_stride,0.088823
cross,pd_to_als,knn,2,dfa_alpha_stride,0.035886
cross,pd_to_als,knn,3,cv_swing,0.034173
cross,pd_to_als,lgbm,1,cv_stride,0.076481
