scope,classifier,f1@0,f1@0.10,f1@0.25,f1@0.50,delta_f1@0.25,sigma_at_10pct_drop
within:pd,rf,0.899398,0.8750410666666666,0.8236092999999999,0.7481993333333332,0.07578870000000015,0.5
within:pd,knn,0.875902,0.8718535666666668,0.8538737333333334,0.7958820333333334,0.022028266666666574,
within:pd,svm,0.84398,0.8360097999999999,0.8193422333333333,0.7771728333333334,0.024637766666666616,
within:pd,dt,0.902162,0.8814613333333334,0.8024733000000002,0.7148316,0.09968869999999985,0.25
within:pd,qda,0.835888,0.8411763000000002,0.8292588999999999,0.7427125000000001,0.006629100000000054,0.5
within:pd,xgb,0.850855,0.8562688333333334,0.7970430666666667,0.7267429666666665,0.05381193333333334,0.5
within:pd,lgbm,0.901946,0.8844398666666665,0.8122547333333332,0.7336843999999999,0.08969126666666682,0.5
within:hd,rf,0.90435,0.8681978333333332,0.7929596999999998,0.7273307000000001,0.11139030000000016,0.2
within:hd,knn,0.752501,0.7434259333333333,0.7130326333333333,0.6784508666666667,0.03946836666666664,
within:hd,svm,0.854348,0.8112996000000001,0.7355114666666668,0.6791147666666668,0.11883653333333322,0.2
within:hd,dt,0.90435,0.8657781666666666,0.7825230666666666,0.7092183333333334,0.12182693333333339,0.2
within:hd,qda,0.873218,0.6214953666666665,0.41790446666666664,0.4081333333333333,0.4553135333333334,0.1
within:hd,xgb,0.954603,0.8645082333333334,0.7804483666666667,0.7077370333333332,0.17415463333333325,0.15
within:hd,lgbm,0.90435,0.8661719666666667,0.7807706,0.7095800666666666,0.1235794,0.2
within:als,rf,0.917688,0.9209440333333333,0.8974590666666666,0.8301491,0.02022893333333331,
within:als,knn,0.938265,0.9371764666666667,0.9287413666666665,0.8954005000000002,0.009523633333333503,
within:als,svm,0.935244,0.9331457,0.9224831666666666,0.8914653666666665,0.012760833333333332,
within:als,dt,0.838105,0.8031305666666666,0.7555870666666669,0.6936290666666666,0.08251793333333313,0.5
within:als,qda,0.964236,0.9485615333333333,0.8853193999999999,0.7322101666666666,0.07891660000000011,0.5
within:als,xgb,0.822365,0.8182074666666668,0.8082475666666669,0.7790372333333335,0.014117433333333151,
within:als,lgbm,0.782201,0.7775930666666666,0.7647000666666666,0.7225722999999998,0.017500933333333468,
