scope,domain,classifier,variant,sigma,mean_f1,std_f1
within,pd,rf,direct,0.0,0.899398,0.0
within,pd,rf,direct,0.05,0.8814408999999999,0.001715874007712941
within,pd,rf,direct,0.1,0.8750410666666666,0.0021988423589562453
within,pd,rf,direct,0.15,0.8614944666666665,0.0033323042326370155
within,pd,rf,direct,0.2,0.8422154000000001,0.004785543975853481
within,pd,rf,direct,0.25,0.8236092999999999,0.005779940568540652
within,pd,rf,direct,0.5,0.7481993333333332,0.005357487286311416
within,pd,knn,direct,0.0,0.875902,0.0
within,pd,knn,direct,0.05,0.8746982333333334,0.0015427656912703608
within,pd,knn,direct,0.1,0.8718535666666668,0.0019204055010610976
within,pd,knn,direct,0.15,0.8694666666666666,0.0023573531670123054
within,pd,knn,direct,0.2,0.8631195666666668,0.0032202486912245366
within,pd,knn,direct,0.25,0.8538737333333334,0.0031072999359498675
within,pd,knn,direct,0.5,0.7958820333333334,0.004065515953033255
within,pd,svm,direct,0.0,0.84398,0.0
within,pd,svm,direct,0.05,0.8412328,0.001412027068217636
within,pd,svm,direct,0.1,0.8360097999999999,0.002160495383806283
within,pd,svm,direct,0.15,0.8314823,0.0018809344000366985
within,pd,svm,direct,0.2,0.8262843000000001,0.002968083500428728
within,pd,svm,direct,0.25,0.8193422333333333,0.0018803259013804676
within,pd,svm,direct,0.5,0.7771728333333334,0.004097756359053203
within,pd,dt,direct,0.0,0.902162,0.0
within,pd,dt,direct,0.05,0.8946562666666668,0.0017604563266837622
within,pd,dt,direct,0.1,0.8814613333333334,0.0033050970493689238
within,pd,dt,direct,0.15,0.8550459666666667,0.004218484549622332
within,pd,dt,direct,0.2,0.8275804333333333,0.0037167649233442626
within,pd,dt,direct,0.25,0.8024733000000002,0.005406121097486593
within,pd,dt,direct,0.5,0.7148316,0.004870620838427492
within,pd,qda,direct,0.0,0.835888,0.0
within,pd,qda,direct,0.05,0.8375364333333333,0.0013627269487251
within,pd,qda,direct,0.1,0.8411763000000002,0.001800952088240529
within,pd,qda,direct,0.15,0.8408805333333333,0.002344853494921097
within,pd,qda,direct,0.2,0.8357732666666668,0.003041799557355219
within,pd,qda,direct,0.25,0.8292588999999999,0.002961260919107682
within,pd,qda,direct,0.5,0.7427125000000001,0.006392175048043321
within,pd,xgb,direct,0.0,0.850855,0.0
within,pd,xgb,direct,0.05,0.8624324,0.0015416075040527463
within,pd,xgb,direct,0.1,0.8562688333333334,0.003018006250802856
within,pd,xgb,direct,0.15,0.8356089666666667,0.0034625147875529593
within,pd,xgb,direct,0.2,0.8148985,0.005042323436465665
within,pd,xgb,direct,0.25,0.7970430666666667,0.005112221198423359
within,pd,xgb,direct,0.5,0.7267429666666665,0.005272512765363351
within,pd,lgbm,direct,0.0,0.901946,0.0
within,pd,lgbm,direct,0.05,0.8951147333333334,0.0012204278767296488
within,pd,lgbm,direct,0.1,0.8844398666666665,0.0032933687682490283
within,pd,lgbm,direct,0.15,0.8602427,0.003550226162295613
within,pd,lgbm,direct,0.2,0.8356393000000001,0.0050669234571571724
within,pd,lgbm,direct,0.25,0.8122547333333332,0.004433810550238055
within,pd,lgbm,direct,0.5,0.7336843999999999,0.006716294311803103
within,hd,rf,direct,0.0,0.90435,0.0
within,hd,rf,direct,0.05,0.9025667333333334,0.0029163407271410556
within,hd,rf,direct,0.1,0.8681978333333332,0.0046280652402290205
within,hd,rf,direct,0.15,0.8399929,0.005235118938476942
within,hd,rf,direct,0.2,0.8128612333333332,0.004783813070700223
within,hd,rf,direct,0.25,0.7929596999999998,0.0054381863048452925
within,hd,rf,direct,0.5,0.7273307000000001,0.005404629096017343
within,hd,knn,direct,0.0,0.752501,0.0
within,hd,knn,direct,0.05,0.7502467333333332,0.0020878175361769033
