,PC1,PC2
left_stride_s,0.35482895723050273,0.26738015255302006
right_stride_s,0.363535665963864,0.21506203294509452
left_swing_s,0.161756792985095,0.3865467023730117
right_swing_s,0.17113016553760238,0.43519748413598336
left_swing_pct,-0.21057293083737386,0.24384578319506392
right_swing_pct,-0.16883998874049416,0.34207396920519106
left_stance_s,0.3789614480002128,0.15086545389201658
right_stance_s,0.3728891489954172,0.053386137335928056
double_support_s,0.36911147181874804,-0.09479737940761619
double_support_pct,0.2499662382760793,-0.36906677682953726
asymmetry_index,0.16357554974421779,-0.19992466050620003
cv_stride,0.22546062224359673,-0.20880076031319666
cv_swing,0.22525886912910703,-0.25439552910877455
dfa_alpha_stride,-0.06264207736725166,0.21880036550857937
