Partition,Direction,Best classifier,Best subject F1,Matched degradation (within - cross)
P1 (main),PD→HD,QDA,0.871224,-0.011183
P1 (main),HD→PD,QDA,0.808333,0.062891
P1 (main),PD→ALS,QDA,0.948148,-0.088107
P1 (main),ALS→PD,DT,0.860041,-0.015597
P1 (main),HD→ALS,QDA,0.892857,-0.021633
P1 (main),ALS→HD,LightGBM,0.805195,0.039249
P2,PD→HD,DT,0.911184,-0.059571
P2,HD→PD,DT,0.794643,0.076581
P2,PD→ALS,KNN,0.948148,-0.130688
P2,ALS→PD,RF,0.823077,0.125071
P2,HD→ALS,QDA,0.948148,-0.151156
P2,ALS→HD,RF,0.805195,0.142953
P3,PD→HD,LightGBM,0.911184,-0.356345
P3,HD→PD,RF,0.904167,-0.258764
P3,PD→ALS,KNN,0.902778,-0.190278
P3,ALS→PD,DT,0.953347,-0.193622
P3,HD→ALS,QDA,0.855835,-0.189168
P3,ALS→HD,QDA,0.878195,-0.137454
