partition_index,partition_label,direction,direction_label,mean_matched_degradation_subject,median_matched_degradation_subject,main_authoritative_subject_delta,deviation_from_main,direction_sign,best_classifier,best_classifier_label,best_subject_f1,best_delta_subject
1,P1 (main),pd_to_hd,PD→HD,0.045839,0.052898,0.045839,0.0,+,qda,QDA,0.871224,-0.011183
1,P1 (main),hd_to_pd,HD→PD,0.173528,0.179249,0.173528,0.0,+,qda,QDA,0.808333,0.062891
1,P1 (main),pd_to_als,PD→ALS,0.071398,0.1193,0.071398,0.0,+,qda,QDA,0.948148,-0.088107
1,P1 (main),als_to_pd,ALS→PD,0.133876,0.130688,0.133876,0.0,+,dt,DT,0.860041,-0.015597
1,P1 (main),hd_to_als,HD→ALS,0.192531,0.274147,0.192531,0.0,+,qda,QDA,0.892857,-0.021633
1,P1 (main),als_to_hd,ALS→HD,0.161047,0.151156,0.161047,0.0,+,lgbm,LightGBM,0.805195,0.039249
2,P2,pd_to_hd,PD→HD,0.016548,0.020468,0.045839,-0.029290999999999998,+,dt,DT,0.911184,-0.059571
2,P2,hd_to_pd,HD→PD,0.05101,0.055634,0.173528,-0.12251799999999999,+,dt,DT,0.794643,0.076581
2,P2,pd_to_als,PD→ALS,0.032853,0.046057,0.071398,-0.038545,+,knn,KNN,0.948148,-0.130688
2,P2,als_to_pd,ALS→PD,0.148368,0.18254,0.133876,0.014492000000000005,+,rf,RF,0.823077,0.125071
2,P2,hd_to_als,HD→ALS,0.060071,0.136218,0.192531,-0.13246000000000002,+,qda,QDA,0.948148,-0.151156
2,P2,als_to_hd,ALS→HD,0.151488,0.142953,0.161047,-0.009558999999999984,+,rf,RF,0.805195,0.142953
3,P3,pd_to_hd,PD→HD,-0.237821,-0.246515,0.045839,-0.28366,-,lgbm,LightGBM,0.911184,-0.356345
3,P3,hd_to_pd,HD→PD,-0.137059,-0.16293,0.173528,-0.31058699999999995,-,rf,RF,0.904167,-0.258764
3,P3,pd_to_als,PD→ALS,-0.196728,-0.198102,0.071398,-0.268126,-,knn,KNN,0.902778,-0.190278
3,P3,als_to_pd,ALS→PD,0.0396,0.082651,0.133876,-0.094276,+,dt,DT,0.953347,-0.193622
3,P3,hd_to_als,HD→ALS,-0.093248,-0.107538,0.192531,-0.285779,-,qda,QDA,0.855835,-0.189168
3,P3,als_to_hd,ALS→HD,0.023142,0.039249,0.161047,-0.137905,+,qda,QDA,0.878195,-0.137454
